#code,score
4agn_109,9.28
4agn_125,9.28
4agn_204,9.28
4agn_205,9.28
4agn_226,9.28
4agn_228,9.28
4agn_251,9.28
4agn_257,9.28
4agn_266,9.28
4agn_267,8.52
4agn_272,9.28
4agn_280,8.52
4agn_290,9.28
4agn_299,9.28
4agn_318,9.28
4agn_380,9.28
4agn_4,9.28
4agn_402,9.28
4agn_405,9.28
4agn_411,9.28
4agn_415,9.28
4agn_425,9.28
4agn_43,9.28
4agn_446,9.28
4agn_447,8.52
4agn_456,9.28
4agn_463,9.28
4agn_477,9.28
4agn_494,9.28
4agn_498,9.28
4agn_502,9.28
4agn_505,9.28
4agn_506,9.28
4agn_511,9.28
4agn_516,9.28
4agn_517,9.28
4agn_519,9.28
4agn_524,9.28
4agn_526,9.28
4agn_535,9.28
4agn_536,8.52
4agn_538,9.28
4agn_539,9.28
4agn_540,9.28
4agn_542,9.28
4agn_554,9.28
4agn_555,9.28
4agn_557,9.28
4agn_561,9.28
4agn_566,9.28
4agn_567,9.28
4agn_568,9.28
4agn_579,9.28
4agn_582,8.52
4agn_591,8.52
4agn_593,9.28
4agn_595,9.28
4agn_596,9.28
4agn_597,9.28
4agn_603,9.28
4agn_608,9.28
4agn_629,9.28
4agn_633,9.28
4agn_643,9.28
4agn_644,9.28
4agn_657,8.52
4agn_659,9.28
4agn_660,9.28
4agn_664,9.28
4agn_665,9.28
4agn_669,8.52
4agn_670,9.28
4agn_677,9.28
4agn_678,9.28
4agn_681,9.28
4agn_682,9.28
4agn_687,8.52
4agn_690,9.28
4agn_691,8.52
4agn_712,9.28
4agn_715,9.28
4agn_727,9.28
4agn_754,9.28
4agn_76,9.28
4agn_765,9.28
4agn_768,9.28
4agn_772,8.52
4agn_78,9.28
4agn_785,9.28
4agn_833,9.28
4agn_844,8.52
4agn_855,9.28
4agn_931,9.28
4agn_979,9.28
4agn_984,9.28
4agn_987,9.28
