#code,score
3dxg_1001,1500.0
3dxg_1002,1500.0
3dxg_1003,1500.0
3dxg_1004,1500.0
3dxg_1005,1500.0
3dxg_1006,1500.0
3dxg_1007,1500.0
3dxg_117,1500.0
3dxg_128,1500.0
3dxg_157,1500.0
3dxg_159,1500.0
3dxg_196,1500.0
3dxg_197,1500.0
3dxg_211,1500.0
3dxg_212,1500.0
3dxg_247,1500.0
3dxg_310,1500.0
3dxg_314,1500.0
3dxg_33,1500.0
3dxg_338,1500.0
3dxg_358,1500.0
3dxg_364,1500.0
3dxg_408,160.0
3dxg_434,1500.0
3dxg_436,1500.0
3dxg_445,1500.0
3dxg_449,160.0
3dxg_450,1500.0
3dxg_458,1500.0
3dxg_461,1500.0
3dxg_463,250.0
3dxg_464,1500.0
3dxg_465,1500.0
3dxg_471,1500.0
3dxg_474,1500.0
3dxg_480,160.0
3dxg_483,1500.0
3dxg_484,1500.0
3dxg_485,250.0
3dxg_498,1500.0
3dxg_521,1500.0
3dxg_522,1500.0
3dxg_524,1500.0
3dxg_529,160.0
3dxg_551,160.0
3dxg_555,1500.0
3dxg_566,250.0
3dxg_572,1500.0
3dxg_59,1500.0
3dxg_600,1500.0
3dxg_609,1500.0
3dxg_612,3200.0
3dxg_635,1500.0
3dxg_652,1500.0
3dxg_662,1500.0
3dxg_673,1500.0
3dxg_689,1500.0
3dxg_695,1500.0
3dxg_70,1500.0
3dxg_721,250.0
3dxg_730,250.0
3dxg_761,250.0
3dxg_765,1500.0
3dxg_771,1500.0
3dxg_778,1500.0
3dxg_80,1500.0
3dxg_833,250.0
3dxg_858,1500.0
3dxg_924,250.0
3dxg_972,1500.0
3dxg_973,1500.0
