#code,score
4gid_132,0.7
4gid_134,0.7
4gid_197,0.7
4gid_201,0.7
4gid_204,100.0
4gid_205,0.7
4gid_217,0.7
4gid_229,100.0
4gid_230,0.7
4gid_232,100.0
4gid_235,100.0
4gid_237,100.0
4gid_242,0.7
4gid_245,0.7
4gid_246,0.7
4gid_257,0.7
4gid_259,0.7
4gid_269,0.7
4gid_270,0.7
4gid_276,0.7
4gid_277,0.7
4gid_282,100.0
4gid_285,0.7
4gid_290,0.7
4gid_291,0.7
4gid_298,0.7
4gid_301,100.0
4gid_311,0.7
4gid_315,100.0
4gid_324,0.7
4gid_336,0.7
4gid_368,26.0
4gid_372,100.0
4gid_39,100.0
4gid_393,0.7
4gid_402,160.0
4gid_405,160.0
4gid_408,160.0
4gid_412,160.0
4gid_416,160.0
4gid_421,160.0
4gid_428,160.0
4gid_429,160.0
4gid_433,160.0
4gid_435,160.0
4gid_449,160.0
4gid_453,160.0
4gid_462,160.0
4gid_475,160.0
4gid_479,160.0
4gid_481,160.0
4gid_482,160.0
4gid_483,160.0
4gid_486,160.0
4gid_506,160.0
4gid_507,160.0
4gid_509,160.0
4gid_54,0.7
4gid_577,160.0
4gid_580,160.0
4gid_596,160.0
4gid_625,160.0
4gid_629,160.0
4gid_630,160.0
4gid_666,160.0
4gid_699,160.0
4gid_700,160.0
4gid_713,0.7
4gid_718,0.7
4gid_725,0.7
4gid_732,100.0
4gid_735,100.0
4gid_739,0.7
4gid_744,0.7
4gid_752,0.7
4gid_766,0.7
4gid_770,0.7
4gid_78,100.0
4gid_789,0.7
4gid_791,0.7
4gid_792,100.0
4gid_796,100.0
4gid_804,100.0
4gid_809,0.7
4gid_811,0.7
4gid_815,0.7
4gid_833,0.7
4gid_860,100.0
4gid_861,0.7
4gid_874,0.7
4gid_880,100.0
4gid_897,100.0
4gid_937,100.0
4gid_941,0.7
4gid_943,0.7
4gid_944,0.7
4gid_946,100.0
4gid_948,0.7
4gid_951,0.7
4gid_959,0.7
