#code,score
4twp_101,0.63
4twp_102,0.63
4twp_106,0.63
4twp_109,0.63
4twp_129,0.63
4twp_164,0.63
4twp_171,0.63
4twp_175,0.63
4twp_203,0.63
4twp_222,0.63
4twp_241,0.63
4twp_277,0.63
4twp_284,0.63
4twp_3,0.63
4twp_323,0.63
4twp_327,0.63
4twp_341,0.63
4twp_352,0.63
4twp_358,0.63
4twp_36,0.63
4twp_378,0.63
4twp_379,0.63
4twp_394,0.63
4twp_397,0.63
4twp_418,0.63
4twp_442,0.8
4twp_443,0.8
4twp_454,0.63
4twp_455,0.8
4twp_460,0.8
4twp_467,0.8
4twp_468,0.8
4twp_470,0.8
4twp_476,0.8
4twp_480,0.8
4twp_485,0.8
4twp_486,0.8
4twp_487,0.8
4twp_493,0.8
4twp_513,0.8
4twp_517,0.63
4twp_518,0.63
4twp_519,0.63
4twp_526,0.63
4twp_53,0.63
4twp_531,0.8
4twp_535,0.63
4twp_538,0.63
4twp_542,0.63
4twp_550,0.63
4twp_555,0.63
4twp_557,0.63
4twp_559,0.63
4twp_564,0.8
4twp_570,0.8
4twp_571,0.8
4twp_577,0.8
4twp_582,0.63
4twp_583,0.8
4twp_585,0.8
4twp_587,0.63
4twp_590,0.8
4twp_591,0.8
4twp_593,0.63
4twp_596,0.63
4twp_597,0.8
4twp_598,0.8
4twp_608,0.63
4twp_614,0.63
4twp_634,0.63
4twp_637,0.8
4twp_641,0.8
4twp_642,0.8
4twp_646,0.8
4twp_648,0.63
4twp_653,0.63
4twp_654,0.63
4twp_656,0.63
4twp_663,0.8
4twp_664,0.63
4twp_669,0.63
4twp_673,0.63
4twp_678,0.8
4twp_683,0.8
4twp_684,276.0
4twp_687,830.0
4twp_692,0.8
4twp_694,0.63
4twp_697,0.8
4twp_699,0.8
4twp_809,0.63
4twp_899,0.63
