#code,score
4f9w_10,-25.76206702736711
4f9w_113,-25.76206702736711
4f9w_169,-25.76206702736711
4f9w_194,-25.76206702736711
4f9w_25,-25.76206702736711
4f9w_283,-25.76206702736711
4f9w_36,-26.841225921810505
4f9w_366,-26.841225921810505
4f9w_396,-25.76206702736711
4f9w_401,-11.464437285197446
4f9w_405,-26.841225921810505
4f9w_406,-25.76206702736711
4f9w_407,-25.76206702736711
4f9w_408,-26.841225921810505
4f9w_419,-26.841225921810505
4f9w_421,-26.841225921810505
4f9w_435,-26.841225921810505
4f9w_442,-11.464437285197446
4f9w_445,-8.791945192261803
4f9w_452,-25.76206702736711
4f9w_456,-11.464437285197446
4f9w_463,-26.841225921810505
4f9w_466,-11.464437285197446
4f9w_469,-11.464437285197446
4f9w_476,-26.841225921810505
4f9w_479,-25.76206702736711
4f9w_480,-25.76206702736711
4f9w_485,-25.76206702736711
4f9w_487,-8.791945192261803
4f9w_489,-26.841225921810505
4f9w_505,-25.76206702736711
4f9w_518,-26.841225921810505
4f9w_523,-11.464437285197446
4f9w_524,-11.464437285197446
4f9w_526,-26.841225921810505
4f9w_527,-26.841225921810505
4f9w_529,-8.791945192261803
4f9w_530,-26.841225921810505
4f9w_565,-26.841225921810505
4f9w_571,-26.841225921810505
4f9w_572,-26.841225921810505
4f9w_573,-26.841225921810505
4f9w_580,-26.841225921810505
4f9w_581,-26.841225921810505
4f9w_583,-11.464437285197446
4f9w_588,-26.841225921810505
4f9w_592,-26.841225921810505
4f9w_599,-11.464437285197446
4f9w_609,-25.76206702736711
4f9w_621,-26.841225921810505
4f9w_630,-11.464437285197446
4f9w_637,-26.841225921810505
4f9w_653,-26.841225921810505
4f9w_661,-8.791945192261803
4f9w_664,-11.464437285197446
4f9w_671,-8.791945192261803
4f9w_673,-25.76206702736711
4f9w_674,-26.841225921810505
4f9w_684,-26.841225921810505
4f9w_685,-26.841225921810505
4f9w_687,-11.464437285197446
4f9w_695,-11.464437285197446
4f9w_732,-25.76206702736711
4f9w_737,-26.841225921810505
4f9w_782,-26.841225921810505
4f9w_783,-26.841225921810505
4f9w_784,-26.841225921810505
4f9w_787,-26.841225921810505
4f9w_788,-26.841225921810505
4f9w_798,-26.841225921810505
4f9w_86,-25.76206702736711
4f9w_899,-26.841225921810505
4f9w_92,-26.841225921810505
4f9w_96,-25.76206702736711
4f9w_996,-25.76206702736711
