#code,score
3kgp_20,7.4
3kgp_31,5.77
3kgp_408,6.7
3kgp_420,6.7
3kgp_431,7.4
3kgp_434,7.4
3kgp_457,7.23
3kgp_465,7.23
3kgp_475,7.4
3kgp_477,7.23
3kgp_483,7.23
3kgp_491,6.7
3kgp_492,5.77
3kgp_493,7.23
3kgp_496,7.4
3kgp_5,7.4
3kgp_504,7.4
3kgp_507,7.4
3kgp_511,5.77
3kgp_523,5.77
3kgp_524,7.4
3kgp_528,5.77
3kgp_532,5.77
3kgp_533,7.23
3kgp_541,7.4
3kgp_547,7.23
3kgp_551,7.23
3kgp_568,7.4
3kgp_573,7.23
3kgp_574,5.77
3kgp_591,7.4
3kgp_596,5.77
3kgp_600,7.4
3kgp_610,7.4
3kgp_657,5.77
3kgp_661,5.77
3kgp_687,5.77
3kgp_693,5.77
3kgp_696,7.4
3kgp_700,7.4
3kgp_715,7.4
3kgp_745,7.4
3kgp_750,7.4
3kgp_757,7.4
3kgp_763,7.4
3kgp_768,7.52
3kgp_771,5.77
3kgp_776,5.77
3kgp_777,5.77
3kgp_778,5.77
3kgp_780,7.4
3kgp_782,7.4
3kgp_783,7.52
3kgp_784,5.77
3kgp_785,5.77
3kgp_786,5.77
3kgp_787,7.4
3kgp_788,5.77
3kgp_789,5.77
3kgp_790,7.4
3kgp_791,5.77
3kgp_792,5.77
3kgp_796,5.77
3kgp_798,5.77
3kgp_799,7.4
