#code,score
3d6q_117,-629649.1212877231
3d6q_123,-580526.3677843765
3d6q_132,-611217.94384579
3d6q_140,-603698.3799802434
3d6q_163,-658123.0770544191
3d6q_207,-768785.3507100934
3d6q_23,-671894.5757869886
3d6q_248,-872989.116045971
3d6q_250,-906849.2833649059
3d6q_259,-842396.6375514932
3d6q_276,-775649.3148551114
3d6q_289,-916060.5283510367
3d6q_299,-928787.337687354
3d6q_312,-744130.7922472499
3d6q_313,-751255.2332177657
3d6q_320,-727602.2569657987
3d6q_321,-735755.5494088266
3d6q_338,-707079.5578522471
3d6q_357,-808825.6591830018
3d6q_367,-953045.2972756716
3d6q_373,-657562.9501476387
3d6q_404,-1078843.9310304157
3d6q_420,-726166.3758534169
3d6q_433,-963785.6961760168
3d6q_451,-878152.0135753754
3d6q_454,-949299.7220929501
3d6q_46,-581462.4230008334
3d6q_491,-979160.499431715
3d6q_498,-754397.85304876
3d6q_50,-675253.4434592227
3d6q_500,-1361261.1565412048
3d6q_528,-745198.295858382
3d6q_539,-1391908.0960813758
3d6q_546,-903787.5733350944
3d6q_551,-736112.8815412349
3d6q_563,-1087387.8963556325
3d6q_574,-1821848.1389986405
3d6q_581,-963958.0746132333
3d6q_586,-632974.4951569934
3d6q_592,-1606677.4107566455
3d6q_610,-1029859.6343793016
3d6q_614,-1038966.2479001466
3d6q_624,-787602.374590088
3d6q_654,-913060.0114808673
3d6q_665,-655188.4861520344
3d6q_671,-1141181.3351684883
3d6q_674,-718885.3556632997
3d6q_679,-1311431.3337949829
3d6q_691,-756337.1362066298
3d6q_698,-840453.2727639262
3d6q_708,-713851.8194670845
3d6q_710,-584293.9459853959
3d6q_718,-551217.8479542091
3d6q_724,-592108.8859648966
3d6q_726,-603726.4368242928
3d6q_729,-710350.2556471982
3d6q_738,-608238.3226339871
3d6q_750,-644648.8762966435
3d6q_753,-683294.5024136791
3d6q_754,-573407.2105243093
3d6q_755,-740275.6826466998
3d6q_756,-766094.1182898342
3d6q_760,-811003.3030369866
3d6q_776,-887680.7707960538
3d6q_782,-703778.5575767859
3d6q_80,-560763.8120761007
3d6q_809,-696261.6014671606
3d6q_810,-774831.2657242473
3d6q_821,-718706.7431727153
3d6q_822,-599319.8335776204
3d6q_837,-553617.2781839935
3d6q_839,-551855.3907283945
3d6q_915,-814799.0759163015
3d6q_953,-612466.0686228869
3d6q_98,-588312.0132096651
