#code,score
4cra_102,-910637.6052960581
4cra_113,-1285677.650590227
4cra_119,-1287374.3990382147
4cra_124,-985913.3984182262
4cra_126,-1253864.733209284
4cra_130,-1402369.5851774088
4cra_151,-1233040.7711100467
4cra_155,-1204223.34981175
4cra_175,-1250298.5327729725
4cra_201,-1363868.6423809896
4cra_204,-1581519.670817208
4cra_214,-1529152.290201825
4cra_219,-1484828.631647658
4cra_224,-1605140.620510384
4cra_230,-1677461.1277045764
4cra_24,-955577.0945134214
4cra_240,-1377644.3718967212
4cra_250,-1415223.3720905795
4cra_258,-1623067.7660412558
4cra_270,-1288176.6760332815
4cra_276,-1428353.0465435858
4cra_281,-1621634.73900953
4cra_283,-1608373.1473195632
4cra_292,-1434718.8841922283
4cra_296,-1491799.6001708757
4cra_302,-1288162.9962633702
4cra_307,-1268692.0648970488
4cra_318,-1199733.8735862044
4cra_354,-1422023.8344995736
4cra_358,-1304585.8502222758
4cra_364,-1268538.2002326131
4cra_375,-1227560.5810300515
4cra_378,-1220580.2922733563
4cra_383,-1311345.2933628177
4cra_4,-1352759.7126731386
4cra_413,-3080944.760307437
4cra_422,-2120641.3234891025
4cra_439,-3071679.334134009
4cra_441,-1792411.387670072
4cra_444,-2634489.3330345824
4cra_448,-2913259.472353755
4cra_456,-2969219.5339887934
4cra_470,-1865211.2236790021
4cra_472,-1768249.02010044
4cra_477,-2256981.665968106
4cra_479,-1962158.4588810483
4cra_496,-1431013.745080212
4cra_504,-1567169.9368258459
4cra_523,-846030.6173413368
4cra_525,-1082391.6299816465
4cra_533,-1173847.8884166584
4cra_538,-1621138.681120282
4cra_540,-1485536.9553006457
4cra_541,-1842732.1124140443
4cra_547,-2475479.527356141
4cra_548,-1351743.6189557756
4cra_549,-1448928.727242138
4cra_564,-1232668.2659387682
4cra_566,-1754259.5425934144
4cra_569,-1236097.3620270027
4cra_572,-1196328.4012230071
4cra_576,-2549867.542735851
4cra_578,-1411136.5710779054
4cra_579,-1917807.4875427494
4cra_580,-1502140.87785305
4cra_584,-949901.095749988
4cra_589,-1498243.319977176
4cra_590,-2160815.761978922
4cra_591,-1134293.1828637598
4cra_595,-1433169.942046022
4cra_596,-1717824.2573422
4cra_604,-1781619.0852376984
4cra_61,-1205736.325812352
4cra_610,-1431774.6711524236
4cra_624,-2003612.7124017766
4cra_636,-1964637.582425943
4cra_644,-1516138.6908826442
4cra_656,-2192709.0104822014
4cra_658,-1497118.2576014397
4cra_680,-3206484.173713946
4cra_689,-1691395.8830084857
4cra_695,-1520395.283218179
4cra_716,-1375920.1904109102
4cra_719,-1270160.1741971897
4cra_720,-1400082.505058382
4cra_748,-1125845.54091288
4cra_795,-1222232.1208995662
4cra_81,-1195278.7643013042
4cra_827,-1214317.4216853199
4cra_828,-1168636.9989573264
4cra_830,-1227004.7790848885
4cra_855,-1387919.5889222876
4cra_861,-1287842.4534756532
4cra_893,-1543062.804882071
4cra_905,-1415220.5274518123
4cra_918,-1327890.3824074222
4cra_941,-1393756.5865043679
4cra_953,-1512632.9244232443
4cra_967,-1291810.8797527014
4cra_972,-1191103.428148418
