#code,score
4ddh_1,-675188.5696251437
4ddh_13,-698960.2558458948
4ddh_130,-590454.738201769
4ddh_181,-581986.2488213213
4ddh_27,-657855.5461710322
4ddh_270,-880345.217324782
4ddh_294,-768310.1791889654
4ddh_296,-769206.3633490159
4ddh_343,-551483.796931469
4ddh_349,-620351.4020257083
4ddh_401,-676990.304528786
4ddh_416,-718237.0855552944
4ddh_421,-621195.5465633444
4ddh_422,-463079.9822844849
4ddh_427,-672286.0926039572
4ddh_432,-811520.4121065227
4ddh_439,-562355.6388178406
4ddh_448,-592531.9110212979
4ddh_455,-616399.8604296214
4ddh_459,-688162.7901047989
4ddh_462,-1201271.8982759577
4ddh_465,-587950.8967595884
4ddh_466,-686937.2262146788
4ddh_471,-876762.2570666154
4ddh_489,-814350.3116550992
4ddh_490,-665391.4480690103
4ddh_500,-663453.412507
4ddh_507,-687929.9181956555
4ddh_514,-897528.0606017732
4ddh_519,-869613.728924814
4ddh_530,-679160.5037077508
4ddh_542,-697262.6271707042
4ddh_543,-876981.9911321868
4ddh_545,-743054.0972489644
4ddh_547,-496692.1599203417
4ddh_548,-872529.190778799
4ddh_555,-622282.8267745561
4ddh_559,-669208.2979370062
4ddh_564,-512137.5241728767
4ddh_574,-540467.8747906964
4ddh_589,-800257.675240693
4ddh_591,-738758.7366804502
4ddh_592,-527535.124914898
4ddh_593,-568192.0755266527
4ddh_620,-744405.8399039792
4ddh_632,-597407.6264238859
4ddh_641,-799354.6932096451
4ddh_649,-591281.892547027
4ddh_651,-755406.1128337755
4ddh_659,-539250.9502897324
4ddh_671,-597023.8329093094
4ddh_684,-688246.4326861375
4ddh_688,-924599.8072206343
4ddh_734,-715765.9778231852
4ddh_754,-492835.3180284421
4ddh_762,-562977.2449937628
4ddh_763,-568896.9054300529
4ddh_764,-565197.8765471671
4ddh_770,-524508.5684767882
4ddh_771,-647524.8188790696
4ddh_773,-548622.9066553294
4ddh_774,-611449.6887383588
4ddh_781,-666291.6152762544
4ddh_782,-873124.9663111753
4ddh_783,-431243.18918529106
4ddh_784,-749376.1461358666
4ddh_79,-635021.9746098346
4ddh_794,-564557.4382882757
4ddh_795,-566960.5075252288
4ddh_796,-548484.6110609344
4ddh_80,-644233.8349836624
4ddh_843,-690101.6378223724
4ddh_868,-576102.9660200515
4ddh_882,-607745.8942963813
4ddh_885,-578396.1196484669
4ddh_911,-752954.8380233351
4ddh_971,-674121.7941347242
