#code,score
2xii_108,-1007.1169151092491
2xii_131,-860.2710165101308
2xii_137,-747.8009912457175
2xii_146,-960.3925373030439
2xii_151,-985.2602224543972
2xii_185,-992.0984553370267
2xii_199,-779.2099744683111
2xii_237,-1126.3763801207251
2xii_238,-1190.7840902038797
2xii_252,-1322.5953286089984
2xii_253,-1170.8740205480299
2xii_293,-1148.9800890591905
2xii_355,-1049.3548989371423
2xii_397,-1038.2714733555513
2xii_401,-1137.2012073613664
2xii_402,-1549.5321248897776
2xii_406,-1059.9984527079364
2xii_407,-1279.5634905474972
2xii_409,-1068.2449898674174
2xii_413,-1514.3421991994983
2xii_414,-1153.6911312530665
2xii_415,-1205.3431266149971
2xii_417,-1191.2623910425052
2xii_419,-1126.198844367303
2xii_426,-1275.708712673985
2xii_427,-1004.7801965392777
2xii_429,-1178.867815911413
2xii_435,-1257.073604663614
2xii_436,-1207.3060428861004
2xii_438,-1241.1359673781237
2xii_445,-957.2039636977407
2xii_451,-930.1935904143328
2xii_452,-1070.7384304101633
2xii_456,-1175.0946924162852
2xii_459,-1176.683488615041
2xii_464,-1049.018478048523
2xii_467,-815.2707266756714
2xii_468,-1102.3298773276165
2xii_469,-1128.4432317641574
2xii_470,-958.9723834484645
2xii_471,-896.4567265319524
2xii_49,-1047.826466872628
2xii_492,-985.5682276661094
2xii_494,-1412.9251612972273
2xii_496,-704.6538013218735
2xii_497,-807.4256584492354
2xii_513,-860.5754369864015
2xii_525,-871.2567797338639
2xii_528,-994.3845014390183
2xii_535,-673.7431660946954
2xii_542,-789.6634875250626
2xii_547,-877.6131370411356
2xii_550,-919.6733874620436
2xii_552,-813.0550905415199
2xii_554,-659.0791344822912
2xii_558,-1119.1349764553208
2xii_561,-737.2013535728646
2xii_564,-749.0661298074968
2xii_567,-673.4073378088443
2xii_570,-830.6482473553982
2xii_576,-858.5619590462402
2xii_584,-1079.7246071308934
2xii_586,-720.2389459402519
2xii_593,-782.5425401507862
2xii_594,-769.5518179760604
2xii_621,-881.6528449774291
2xii_637,-876.1559671449497
2xii_641,-1018.0237893936796
2xii_661,-1187.5458052236252
2xii_665,-770.0961299881646
2xii_674,-931.0840031518366
2xii_683,-1109.4920830312574
2xii_688,-845.1480845322213
2xii_69,-1054.4617533783758
2xii_696,-873.2016518073884
2xii_705,-1217.6555224396207
2xii_715,-1277.8400610444048
2xii_729,-1105.3257691415727
2xii_757,-850.1749950609328
2xii_760,-1029.3506413187613
2xii_762,-867.9017819752595
2xii_763,-985.4730298145853
2xii_765,-903.4405675610705
2xii_822,-1121.6392485903957
2xii_84,-1054.1458273283304
2xii_968,-1169.806228108786
2xii_97,-1095.5271811445557
