#code,score
3ag9_1001,361.7050784865757
3ag9_1002,316.566185259621
3ag9_1003,320.66718214810345
3ag9_1004,299.9814570757019
3ag9_1005,325.883591563965
3ag9_1006,354.0872102557514
3ag9_1007,379.3051589513464
3ag9_1008,382.25571399485693
3ag9_1009,286.14324204853784
3ag9_1010,370.1924545216142
3ag9_123,205.89906563657397
3ag9_14,446.4471607003637
3ag9_159,237.68215682288695
3ag9_163,359.5392579752007
3ag9_184,196.99780022982742
3ag9_189,256.9797204740657
3ag9_19,364.3887320636844
3ag9_203,391.59183229791125
3ag9_209,432.4934622120379
3ag9_21,457.70903342225597
3ag9_210,483.05831025833277
3ag9_213,324.601109021601
3ag9_220,492.20951955067414
3ag9_234,470.6408430323916
3ag9_24,387.3928756646143
3ag9_240,427.4018616640132
3ag9_251,533.5512897303716
3ag9_254,419.5460477713913
3ag9_264,349.3856583701435
3ag9_270,409.29955019485
3ag9_278,441.2158119586187
3ag9_28,352.66016304626504
3ag9_283,413.73721183859766
3ag9_287,446.9279782831205
3ag9_292,402.2457373493272
3ag9_3,392.739040379554
3ag9_304,299.01420413450626
3ag9_305,372.28883801390447
3ag9_306,292.6167159851878
3ag9_337,354.3715009754888
3ag9_340,277.5285669209524
3ag9_352,255.84356883819547
3ag9_357,284.550275243384
3ag9_365,332.81219652576317
3ag9_378,355.58626987175967
3ag9_38,341.68396177700436
3ag9_387,320.7524212439351
3ag9_392,315.8546691608599
3ag9_399,400.9330233010507
3ag9_413,309.87372707871293
3ag9_489,75.45428167349363
3ag9_49,431.3318779731519
3ag9_495,365.88903011594016
3ag9_498,95.18019719841018
3ag9_520,215.56563445870893
3ag9_543,123.3158993496238
3ag9_569,269.1658370824531
3ag9_62,359.1397173911437
3ag9_667,407.9259581187595
3ag9_679,243.67446037306976
3ag9_685,315.57004580344363
3ag9_69,485.13908451816667
3ag9_712,432.7452625736918
3ag9_720,438.7859336091035
3ag9_724,388.2032064394574
3ag9_734,423.01719122442853
3ag9_735,368.1052454022803
3ag9_738,381.86230350435767
3ag9_741,393.36081463010396
3ag9_746,327.44995395476906
3ag9_754,281.20271201072
3ag9_762,347.4562791048904
3ag9_764,338.0889618352203
3ag9_77,421.27828297279234
3ag9_772,230.38504293688445
3ag9_828,432.5906861802405
3ag9_841,389.9650562529207
3ag9_850,396.28955778621287
3ag9_891,422.80688422408406
3ag9_9,353.8529163529106
3ag9_934,412.8338328268633
3ag9_951,394.306751606804
3ag9_968,363.2459202859888
3ag9_97,393.7517857211295
