#code,score
4w9l_10,214.60694529345326
4w9l_100,346.34896479335276
4w9l_12,366.1863707932304
4w9l_136,244.82495312149823
4w9l_141,261.56715083751976
4w9l_143,238.92875155118585
4w9l_151,240.11683314885664
4w9l_170,327.2771409066928
4w9l_177,363.0597805168404
4w9l_180,307.15928730460223
4w9l_19,370.33757277097885
4w9l_192,245.9786115647142
4w9l_204,369.3573034549731
4w9l_215,365.11865444966566
4w9l_250,388.13657149446976
4w9l_261,380.92233388501234
4w9l_264,380.7422441740126
4w9l_27,282.19090976307115
4w9l_273,413.87546164898754
4w9l_287,352.3808988033684
4w9l_309,176.7673464115201
4w9l_323,286.88293141683414
4w9l_326,251.98582319308414
4w9l_341,236.17750225864208
4w9l_35,380.20804187800417
4w9l_358,260.8671156126945
4w9l_368,362.7013279029644
4w9l_379,248.67501259369442
4w9l_382,271.7997993096664
4w9l_393,306.85217885015436
4w9l_400,209.44972170587596
4w9l_402,329.9235440479637
4w9l_403,257.8536759349082
4w9l_406,315.43470117238434
4w9l_407,243.00824733942088
4w9l_410,250.8236104501498
4w9l_411,283.60720501312477
4w9l_430,331.6134855016752
4w9l_437,290.68484043168473
4w9l_441,336.4383568038555
4w9l_448,200.25728630591854
4w9l_450,215.10637377357477
4w9l_452,191.60258785945018
4w9l_456,205.69076953120017
4w9l_457,353.28847051883616
4w9l_462,238.9426631829152
4w9l_466,164.66659954201677
4w9l_475,238.17683733872096
4w9l_480,158.9713338313725
4w9l_481,213.72181949571063
4w9l_482,259.778366480308
4w9l_486,169.47619107094036
4w9l_492,209.3134305171454
4w9l_493,171.68635737859998
4w9l_5,204.99309555606385
4w9l_519,186.64301906296336
4w9l_522,202.22785467203886
4w9l_527,178.76103649229134
4w9l_53,349.65635868997475
4w9l_545,182.99038934888173
4w9l_550,167.95770978041554
4w9l_556,137.1666602219298
4w9l_557,145.58252816274293
4w9l_572,164.76166915625296
4w9l_573,177.31055913280628
4w9l_577,191.74224419562088
4w9l_579,227.0433504636524
4w9l_591,259.43165952413744
4w9l_594,192.92715705023028
4w9l_596,133.22024202583762
4w9l_604,224.228783238513
4w9l_612,214.6035830453798
4w9l_616,176.89610755410183
4w9l_642,238.1781603467222
4w9l_655,221.09284102982465
4w9l_657,248.48822076760942
4w9l_659,213.92338201810074
4w9l_675,196.1796869974584
4w9l_681,130.74855612862214
4w9l_691,278.54311155003245
4w9l_696,172.94601198604337
4w9l_699,190.23739757605912
4w9l_704,366.46762673143934
4w9l_708,364.59966846574
4w9l_709,364.0731192023792
4w9l_715,337.1004095955153
4w9l_719,322.24980128346124
4w9l_732,269.6112570955856
4w9l_759,302.4097025483126
4w9l_762,256.7137751105338
4w9l_770,257.150808556937
4w9l_779,251.27571420202506
4w9l_787,292.0708348687518
4w9l_822,312.5862211971979
4w9l_84,177.25151079906206
4w9l_871,268.1579703988171
4w9l_886,255.35381909553035
4w9l_906,350.18640372629443
4w9l_93,290.22128433572254
4w9l_933,345.12762934179153
