#code,score
1r5y_113,-10229.701521390758
1r5y_118,869.0504275944841
1r5y_167,-12425.41949882434
1r5y_179,1253.4139009524952
1r5y_180,-6523.491141764724
1r5y_181,-8467.143212785188
1r5y_197,-7861.388140485433
1r5y_270,-9239.012300901304
1r5y_317,-5077.8685626000515
1r5y_322,-6851.459726515735
1r5y_324,-4826.891547067047
1r5y_341,-11442.665625013207
1r5y_397,-5620.019905037712
1r5y_402,-2229.757779964799
1r5y_405,6548.081775119535
1r5y_409,20469.587057211655
1r5y_412,8310.295901471822
1r5y_416,6563.504832962019
1r5y_423,1607.7991219381656
1r5y_425,42418.12076193316
1r5y_426,4210.70056013158
1r5y_432,56665.815562020376
1r5y_434,33481.67274567032
1r5y_441,32726.54882181239
1r5y_443,38126.52429687967
1r5y_445,25122.66961870026
1r5y_452,13707.288603310259
1r5y_453,-1216.4822704475519
1r5y_464,-747.1334160373299
1r5y_469,8824.740906374776
1r5y_477,15840.408813115046
1r5y_480,1734.76689124752
1r5y_496,33769.63607835908
1r5y_497,43415.47982034647
1r5y_498,49471.587251859106
1r5y_524,10842.102752000152
1r5y_537,-8.808872539630102
1r5y_538,-306.22475130584644
1r5y_540,-1223.87809002235
1r5y_541,6834.664933086726
1r5y_542,7071.670236158006
1r5y_545,19873.897414825333
1r5y_547,-2122.9291137389664
1r5y_553,16743.14258146636
1r5y_562,11748.51164772368
1r5y_566,6419.996006505338
1r5y_568,16352.976281536223
1r5y_571,4679.874308453596
1r5y_579,4063.448023979421
1r5y_583,16094.712650881964
1r5y_584,5623.477447121742
1r5y_591,-432.73619337673153
1r5y_592,5339.498207926219
1r5y_595,3428.8887487138636
1r5y_599,8953.051125577222
1r5y_616,9283.71206735916
1r5y_639,7529.089756233738
1r5y_641,5291.035198511887
1r5y_686,26319.69101399136
1r5y_691,2217.47754096648
1r5y_694,13743.122462704472
1r5y_727,2542.3343060996413
1r5y_732,6384.098995049113
1r5y_733,6433.201477361537
1r5y_735,2998.6264834651156
1r5y_745,-5696.283353409548
1r5y_746,-1219.9319888769096
1r5y_751,-579.710897013545
1r5y_755,4776.545016030657
1r5y_759,2053.8508545671575
1r5y_762,-1367.4526473922742
1r5y_763,2318.0460361811856
1r5y_766,5606.710985894017
1r5y_767,9472.462389127591
1r5y_770,1059.678453551358
1r5y_776,4955.284536141618
1r5y_777,7278.843772420074
1r5y_780,11098.543292017668
1r5y_782,10326.604074137096
1r5y_783,10254.570867200615
1r5y_785,16207.889364430208
1r5y_786,13070.753587013529
1r5y_787,12867.429622148833
1r5y_791,36668.32526677968
1r5y_820,-4869.704844208412
1r5y_853,5766.29877610143
1r5y_868,-402.9023988394838
1r5y_870,6679.790657686735
1r5y_883,6546.798577527326
1r5y_887,-593.2738222323896
1r5y_90,-8524.958422041207
1r5y_928,8513.008297097917
1r5y_987,2969.5282163815064
