#code,score
3fcq_103,-5959.689712356267
3fcq_107,-4574.666035404967
3fcq_109,5443.176132531931
3fcq_110,-4380.703973632495
3fcq_112,2551.5402517701004
3fcq_117,806.1993060773311
3fcq_118,1040.2180909916133
3fcq_127,4219.932924062756
3fcq_128,3019.1177316350695
3fcq_129,-973.402181491685
3fcq_135,-2601.0882326000356
3fcq_136,-7068.078503945129
3fcq_140,1951.4003970809063
3fcq_166,-7267.68195772919
3fcq_169,-2368.2865589085122
3fcq_174,-1894.1460878640064
3fcq_175,-95.59086309996928
3fcq_177,4888.493202618643
3fcq_181,2941.8397369006343
3fcq_184,2130.112039964566
3fcq_198,7231.883254493536
3fcq_209,-8124.489302206763
3fcq_237,-5359.900910021868
3fcq_314,-5829.856317756989
3fcq_320,-9451.856981701429
3fcq_352,-10313.624734907862
3fcq_353,1978.0688685837667
3fcq_365,-6222.167675094228
3fcq_372,-5415.89015143468
3fcq_418,-7449.135266533522
3fcq_419,-1318.9088787078872
3fcq_428,-2233.2146835803287
3fcq_442,6161.66501357314
3fcq_445,-3215.8248322072686
3fcq_450,-1789.9431944033422
3fcq_461,-6353.658624646734
3fcq_469,-1627.5276771008357
3fcq_479,-4104.358735902337
3fcq_488,64770.258206074745
3fcq_493,1115.4924485102092
3fcq_496,5344.269379862795
3fcq_506,2591.754696312986
3fcq_509,25795.376647560603
3fcq_513,903.7874706111324
3fcq_515,10376.235236136607
3fcq_517,3608.9819938655164
3fcq_53,-7590.1673438229045
3fcq_537,2842.454651237211
3fcq_547,11902.864877323143
3fcq_550,3057.3812555338845
3fcq_562,504.7189734010244
3fcq_568,6100.476785991865
3fcq_578,-11727.381170001972
3fcq_588,16998.765645225307
3fcq_598,29500.241195897324
3fcq_629,21032.32342378873
3fcq_638,35381.9448769352
3fcq_641,66949.8074170223
3fcq_671,33346.818664963204
3fcq_672,11311.805628679514
3fcq_675,36777.86808105719
3fcq_681,6817.0955369449985
3fcq_683,18678.271569143508
3fcq_692,36025.00262132403
3fcq_694,3457.684982856481
3fcq_700,554.9461643109535
3fcq_74,-9559.585384123828
3fcq_775,4109.024989117901
3fcq_778,-1633.362304570568
3fcq_781,8223.985576831587
3fcq_794,1251.5903683622091
3fcq_84,-5259.58074468407
3fcq_843,5271.224813424546
3fcq_844,-865.3407883032851
3fcq_887,5874.713576525759
