#code,score
4cig_106,-253.50842491214013
4cig_114,-398.9660382329907
4cig_122,-355.8944379703211
4cig_129,-311.69687476946217
4cig_13,-384.76167027129685
4cig_131,-360.3114208057694
4cig_167,-326.1874088661831
4cig_169,-435.7395015998295
4cig_18,-399.816210547557
4cig_203,-414.15483745854135
4cig_219,-411.2789259959566
4cig_22,-402.29004179738956
4cig_241,-465.7548480230312
4cig_253,-416.53132159022783
4cig_265,-366.98005629399404
4cig_267,-415.3083610744091
4cig_285,-501.1606526351037
4cig_290,-488.8405488811784
4cig_298,-408.95986526273015
4cig_329,-372.8686689910938
4cig_342,-363.1598624686812
4cig_351,-382.39980775343747
4cig_369,-322.3308356280521
4cig_372,-413.55939386820245
4cig_386,-404.7534607409994
4cig_44,-441.86785995769037
4cig_454,777.5935999953413
4cig_480,528.1706842170369
4cig_510,-54.7500607831044
4cig_524,-247.88004960565962
4cig_540,-107.28530483417212
4cig_545,80.87184369393665
4cig_553,131.47709647142807
4cig_56,-327.98983585592964
4cig_570,-201.83556585023575
4cig_575,487.7300469980065
4cig_589,-127.0957011810384
4cig_600,-226.8476788642675
4cig_601,959.5788279089043
4cig_639,-99.89007458469695
4cig_641,1021.7631772167757
4cig_645,80.67246648056405
4cig_656,278.2737965963522
4cig_669,-321.4885706845634
4cig_702,-396.8200076487227
4cig_707,-406.50145414399884
4cig_710,-414.28340282734735
4cig_716,-400.22065272073394
4cig_719,-408.6119410766565
4cig_738,-408.0565206066006
4cig_739,-402.77038063648394
4cig_750,-469.0537895439066
4cig_759,-377.95112281448405
4cig_762,-230.41858776432605
4cig_763,-394.780774126622
4cig_766,-278.7830136250608
4cig_769,-355.9500984025039
4cig_770,-354.2535502879651
4cig_774,-290.8596013092564
4cig_780,-269.9138050626637
4cig_784,-500.3424993523659
4cig_786,-397.57244722236817
4cig_787,-412.22287719091213
4cig_788,-348.2945453096258
4cig_809,-425.92968356393993
4cig_83,-351.6303842814157
4cig_848,-411.2840430205485
4cig_851,-325.94195403853564
4cig_852,-447.28231958861414
4cig_860,-350.3425947141085
4cig_929,-364.86669350444527
4cig_947,-452.81114638964624
4cig_950,-420.35468705642506
4cig_956,-392.2962530596351
4cig_957,-325.0691139759127
4cig_98,-383.70035969652304
