#code,score
4ddh_1,-338.1019295492237
4ddh_13,-323.49081116934127
4ddh_130,-288.1452045173097
4ddh_181,-274.55535548556963
4ddh_27,-283.1238625438619
4ddh_270,-245.5421598272505
4ddh_294,-329.1821877564806
4ddh_296,-278.87428554095476
4ddh_343,-288.17003352901133
4ddh_349,-253.04673618200928
4ddh_401,-276.53293763779135
4ddh_416,-323.0164882837001
4ddh_421,-203.475451902438
4ddh_422,-298.37162512429484
4ddh_427,-279.80006445602487
4ddh_432,-202.38565962203256
4ddh_439,-290.4992158370945
4ddh_448,-258.32089741986726
4ddh_455,-267.7471782319584
4ddh_459,-247.23837085713154
4ddh_462,506.85025302126394
4ddh_465,-306.65720298921053
4ddh_466,-164.04394939082135
4ddh_471,56.62746732998234
4ddh_489,-225.07998198932
4ddh_490,-274.55950725189183
4ddh_500,-181.4272083195882
4ddh_507,-260.35461576886655
4ddh_514,-233.86369407808672
4ddh_519,-225.50922706700135
4ddh_530,-260.2700735921156
4ddh_542,-246.93175355121343
4ddh_543,-203.29518430348054
4ddh_545,-176.72107718347002
4ddh_547,-263.69617676035773
4ddh_548,-143.72515576686476
4ddh_555,-161.48242278240457
4ddh_559,-240.36223647225722
4ddh_564,-241.2590076127155
4ddh_574,-291.2602947798346
4ddh_589,-160.4255338318577
4ddh_591,-63.9415445089197
4ddh_592,-225.03819564295083
4ddh_593,-255.7552809251822
4ddh_620,-164.66893582355186
4ddh_632,-202.27641316966344
4ddh_641,-167.23532927197607
4ddh_649,-228.2332321450952
4ddh_651,-240.0776893668057
4ddh_659,-226.13174161249486
4ddh_671,-214.79878269092308
4ddh_684,-194.91238635153417
4ddh_688,-221.85951044923604
4ddh_734,-325.97297570083833
4ddh_754,-253.3580048565887
4ddh_762,-206.33702895788736
4ddh_763,-206.15017002389527
4ddh_764,-205.42132891381982
4ddh_770,-264.7897809235319
4ddh_771,-296.8358088373206
4ddh_773,-258.00168061684326
4ddh_774,-185.33755089643194
4ddh_781,-228.9722607249717
4ddh_782,-258.0500257270152
4ddh_783,-236.71322927438547
4ddh_784,-241.66023004680147
4ddh_79,-333.52350510488264
4ddh_794,-177.47952041013173
4ddh_795,-175.15378697359262
4ddh_796,-199.85189239017973
4ddh_80,-315.76184351640035
4ddh_843,-313.23911770565167
4ddh_868,-218.7294248236277
4ddh_882,-257.2945023140223
4ddh_885,-217.5117405892235
4ddh_911,-311.6788518343602
4ddh_971,-294.48186850405244
