#code,score
4gr0_107,-685.9324907617179
4gr0_113,-459.71609418799
4gr0_119,-510.12721442877535
4gr0_120,-260.675095723557
4gr0_13,-639.8823054658125
4gr0_133,-321.50493336003103
4gr0_15,-521.7544986362549
4gr0_159,-631.2091730819778
4gr0_162,-344.72709280859294
4gr0_206,-733.7615290271589
4gr0_217,-706.6778743997594
4gr0_218,-616.3928597132315
4gr0_226,-619.4442258438759
4gr0_228,-688.0865070611368
4gr0_236,-588.4459999180124
4gr0_237,-778.9790278819862
4gr0_240,-723.8692851864304
4gr0_242,-712.7119427163709
4gr0_250,-753.0646113408073
4gr0_268,-789.8651482778288
4gr0_272,-796.523440272642
4gr0_279,-666.4254364206608
4gr0_281,-779.1273902515524
4gr0_286,-741.9136829938325
4gr0_287,-774.5217460055812
4gr0_300,-711.3043069685584
4gr0_305,-699.8188529853477
4gr0_306,-467.42017287193227
4gr0_314,-423.7963664064338
4gr0_324,-408.4170682276311
4gr0_326,-792.9466076789042
4gr0_33,-459.1228147613954
4gr0_341,-745.93954951986
4gr0_375,-668.7792855014782
4gr0_381,-361.08483638899077
4gr0_402,1670.0837503916464
4gr0_405,5034.432065628112
4gr0_408,528.1473649350821
4gr0_410,915.8113683252508
4gr0_411,3353.4437633047714
4gr0_412,3039.584437182992
4gr0_416,700.719981724322
4gr0_417,2793.707142217174
4gr0_419,1310.957378741394
4gr0_420,5410.7827610213835
4gr0_421,4974.993619799994
4gr0_422,1572.8294076366835
4gr0_428,2669.5476318051847
4gr0_429,5237.913733735777
4gr0_433,1704.226634005288
4gr0_438,977.4433753178507
4gr0_439,6074.938975973478
4gr0_440,2882.066430999854
4gr0_452,1568.0759813901313
4gr0_456,291.3099005830452
4gr0_457,4779.7205479051645
4gr0_459,2804.8614086455214
4gr0_465,1953.0819733386738
4gr0_467,4628.04334514818
4gr0_468,1410.5109824866554
4gr0_471,1568.6018980778374
4gr0_472,2292.4802511901407
4gr0_473,5590.108091696668
4gr0_474,3922.391120056997
4gr0_476,2612.8212384434105
4gr0_486,2086.700254391911
4gr0_491,2414.3863955196316
4gr0_492,3347.6761659864205
4gr0_497,-343.5533189048137
4gr0_499,3874.262855595487
4gr0_518,773.4548805288872
4gr0_529,291.8034183609276
4gr0_53,-704.3732315664278
4gr0_541,370.8511540771074
4gr0_545,3339.8140510574485
4gr0_546,1244.8199819913107
4gr0_55,-757.8695723664017
4gr0_550,800.3668355326683
4gr0_558,2199.8954393867243
4gr0_56,-545.7388287223946
4gr0_565,1254.5244926382268
4gr0_566,2168.214547938783
4gr0_573,-77.45588674951111
4gr0_575,118.40400264966927
4gr0_583,-171.87384545693635
4gr0_584,649.9406915565182
4gr0_591,1701.3537796598691
4gr0_594,261.1705317659207
4gr0_605,1078.8016968993638
4gr0_630,1381.5619174235133
4gr0_644,-188.30713702479466
4gr0_650,226.39512346565908
4gr0_674,683.9954425647285
4gr0_709,-788.3118127879322
4gr0_715,-673.175514682312
4gr0_761,-751.7905147375802
4gr0_768,-741.2797743048469
4gr0_791,-772.9211226265064
4gr0_905,-743.8696074879176
4gr0_91,-722.6733805963687
