#code,score
4w9l_10,-343.14490819086603
4w9l_100,-507.644707398531
4w9l_12,-559.5439389102017
4w9l_136,-253.6050299608371
4w9l_141,-287.8754479367901
4w9l_143,-109.38048494129684
4w9l_151,-350.1422832846069
4w9l_170,-569.1265424463095
4w9l_177,-515.6585586442494
4w9l_180,-487.2877572265322
4w9l_19,-511.71309174792606
4w9l_192,-192.75769092075973
4w9l_204,-592.6349727764999
4w9l_215,-615.8302525144528
4w9l_250,-620.7960590230173
4w9l_261,-389.66354221767574
4w9l_264,-620.2648629221279
4w9l_27,-371.02823681896473
4w9l_273,-333.6966958937551
4w9l_287,-556.3862110598741
4w9l_309,-352.78384173510693
4w9l_323,-473.5228952475436
4w9l_326,-474.3511551342713
4w9l_341,-402.3736340235133
4w9l_35,-596.5261293286244
4w9l_358,-341.234536671979
4w9l_368,-625.6302283356093
4w9l_379,-377.7880024064696
4w9l_382,-405.46594310150283
4w9l_393,-313.4311821845127
4w9l_400,-292.0766072934415
4w9l_402,1301.6808764791067
4w9l_403,1172.31839655768
4w9l_406,802.6543023196743
4w9l_407,-139.73733167987527
4w9l_410,841.7795293468579
4w9l_411,1077.7166231542094
4w9l_430,206.69126126239064
4w9l_437,1184.9094525104142
4w9l_441,669.5857004204571
4w9l_448,57.19624184381294
4w9l_450,361.0322612554032
4w9l_452,562.633892787051
4w9l_456,169.53047003835127
4w9l_457,1027.6325526102194
4w9l_462,251.30029514818682
4w9l_466,1162.5527824993148
4w9l_475,1243.0480166092757
4w9l_480,2850.0588463763092
4w9l_481,553.8735627051141
4w9l_482,240.6125675531435
4w9l_486,-195.48338223978465
4w9l_492,593.1248714708322
4w9l_493,465.56836928500053
4w9l_5,-317.1629787761536
4w9l_519,-78.85546641050587
4w9l_522,293.180117573316
4w9l_527,-234.99882487771185
4w9l_53,-423.4170540690701
4w9l_545,487.9581428381794
4w9l_550,572.9875675830684
4w9l_556,-210.011486218548
4w9l_557,232.30903645404106
4w9l_572,278.44963828055785
4w9l_573,1317.7448303222463
4w9l_577,146.3063672481086
4w9l_579,-39.40099018953998
4w9l_591,293.0996589432181
4w9l_594,498.2418279242678
4w9l_596,1232.8128536777704
4w9l_604,431.9220914317042
4w9l_612,554.9940701962222
4w9l_616,263.7158690612143
4w9l_642,84.41277137502847
4w9l_655,433.22904295779654
4w9l_657,-32.599943247912634
4w9l_659,217.9483678336142
4w9l_675,-185.33853188596066
4w9l_681,-166.60925582786018
4w9l_691,281.5750624196132
4w9l_696,-32.24713860571388
4w9l_699,-110.82374462334272
4w9l_704,-604.9055789852373
4w9l_708,-595.6521758219527
4w9l_709,-607.0433280855714
4w9l_715,-594.1062415799901
4w9l_719,-560.152446592844
4w9l_732,-432.75561141140264
4w9l_759,-508.8859466728962
4w9l_762,-418.884273871592
4w9l_770,-436.4235306645801
4w9l_779,-431.1885903038819
4w9l_787,-518.9949750124042
4w9l_822,-432.36537108176293
4w9l_84,-248.2871120449791
4w9l_871,-456.7674892978652
4w9l_886,-445.73669196896714
4w9l_906,-577.4408251316075
4w9l_93,-440.88545484819053
4w9l_933,-573.213435643529
