#code,score
1bzc_101,-3404403.258004322
1bzc_111,-3349647.7417214727
1bzc_142,-3695062.622199519
1bzc_190,-3410788.63058883
1bzc_217,-4346204.75292081
1bzc_223,-4503557.999328238
1bzc_225,-4667985.156196343
1bzc_260,-4171480.551187714
1bzc_265,-4605634.541737894
1bzc_300,-4272926.390700548
1bzc_323,-3636452.8174091075
1bzc_375,-3964126.1866811053
1bzc_409,-11124924.29256065
1bzc_412,-10655092.110444758
1bzc_414,-6479449.650105449
1bzc_427,-11221184.166073546
1bzc_43,-3830173.9759523156
1bzc_439,-15038511.608872041
1bzc_440,-7386193.348837467
1bzc_443,-9625642.310889445
1bzc_449,-5320599.786259496
1bzc_461,-7540482.408684033
1bzc_463,-16853521.070708152
1bzc_464,-10193642.50789622
1bzc_466,-5923937.622533208
1bzc_469,-4360072.053756617
1bzc_473,-8219973.045433285
1bzc_481,-10813878.373892892
1bzc_487,-11366344.919591494
1bzc_502,-3991074.8636581125
1bzc_504,-4744765.62907853
1bzc_522,-6124365.7374009425
1bzc_524,-5140115.922240983
1bzc_526,-5613809.527244176
1bzc_527,-5343243.205192053
1bzc_530,-3553181.157697055
1bzc_539,-6079733.621008783
1bzc_546,-5540755.915638522
1bzc_549,-3527878.7203497193
1bzc_556,-4967310.313652558
1bzc_558,-6443590.227697707
1bzc_566,-5149416.8473592885
1bzc_577,-5148802.8825981505
1bzc_579,-4805126.942172577
1bzc_588,-6035164.952260283
1bzc_592,-3920027.2707451754
1bzc_593,-3764456.2834583586
1bzc_597,-6882253.72268819
1bzc_608,-2667870.4659807305
1bzc_611,-7347344.15530914
1bzc_614,-5490652.665593037
1bzc_615,-4023461.1980243786
1bzc_620,-3038084.4920130223
1bzc_622,-5040946.594939588
1bzc_625,-7757239.969781348
1bzc_629,-5731113.012101094
1bzc_633,-6037473.685890776
1bzc_644,-6504863.183869129
1bzc_651,-5646469.327801969
1bzc_652,-8065544.668271089
1bzc_659,-2167104.8477230202
1bzc_660,-3042648.0576844965
1bzc_664,-6334771.309558158
1bzc_666,-5502219.756368943
1bzc_669,-8261681.159420547
1bzc_670,-2629692.256588316
1bzc_671,-5576004.114566813
1bzc_674,-8394887.290320467
1bzc_677,-3412612.726912037
1bzc_681,-4922570.315969016
1bzc_682,-3931546.7796815457
1bzc_686,-5562498.954747232
1bzc_688,-5825836.225662854
1bzc_690,-2894347.58086234
1bzc_694,-6161583.782226419
1bzc_700,-8763653.984415116
1bzc_709,-3941145.0445390926
1bzc_778,-3192405.805699076
1bzc_963,-3579210.786999375
