#code,score
1ydt_1000,-5379439.98922662
1ydt_121,-3704250.816420928
1ydt_204,-4257660.219533816
1ydt_207,-4319613.152182054
1ydt_214,-4292091.133903661
1ydt_215,-4696757.127187419
1ydt_241,-4286090.917864899
1ydt_246,-4024356.672546216
1ydt_251,-4247381.888709792
1ydt_253,-4317019.614280996
1ydt_254,-3296570.6125703333
1ydt_260,-3605412.779375275
1ydt_263,-3993736.7433019024
1ydt_267,-4031686.3526128884
1ydt_271,-4081197.776075899
1ydt_275,-3656245.721390244
1ydt_277,-4563301.9541488
1ydt_278,-4842833.050805022
1ydt_279,-3757026.630382572
1ydt_281,-3646732.601915964
1ydt_283,-5028304.602697195
1ydt_300,-4691567.351324781
1ydt_309,-3579526.8431875654
1ydt_324,-4327375.61649168
1ydt_34,-3991142.169938168
1ydt_386,-3922673.288998661
1ydt_40,-3644366.8095944435
1ydt_401,-3708112.67854026
1ydt_404,-4584958.233634406
1ydt_408,-5896748.280674779
1ydt_412,-10054238.911629777
1ydt_417,-7681047.5698282095
1ydt_425,-7244818.941702648
1ydt_432,-7180878.5520542255
1ydt_446,-8093958.905091536
1ydt_46,-3530125.08385508
1ydt_464,-6053200.377749653
1ydt_47,-3786325.7263924386
1ydt_470,-4692700.020732426
1ydt_474,-4117893.1827728017
1ydt_483,-7150702.113976679
1ydt_487,-5190878.698040803
1ydt_494,-7394958.593917486
1ydt_495,-7720898.645023082
1ydt_500,-4786720.32105231
1ydt_532,-7070670.059160251
1ydt_538,-3647358.4610259063
1ydt_539,-3695285.417789345
1ydt_549,-6108118.82131705
1ydt_556,-4067728.278854214
1ydt_558,-4965169.331988545
1ydt_564,-6047127.137298322
1ydt_576,-9474845.228087805
1ydt_578,-11338896.189716216
1ydt_609,-5553361.805202528
1ydt_625,-5378847.287875309
1ydt_632,-7686971.4424867
1ydt_643,-7962354.105987816
1ydt_644,-5854622.13203611
1ydt_655,-5528790.349914968
1ydt_659,-8306026.717111475
1ydt_677,-8149580.92966222
1ydt_678,-9418997.95865054
1ydt_684,-5238967.517879073
1ydt_694,-5611072.925191248
1ydt_697,-7338693.223908251
1ydt_705,-4178477.3082246524
1ydt_709,-3807474.4848143826
1ydt_711,-4539260.032637848
1ydt_715,-4813151.980163268
1ydt_730,-4862188.370702204
1ydt_75,-2949500.284298353
1ydt_750,-4884407.183188672
1ydt_766,-4666165.901549443
1ydt_775,-4293440.447918053
1ydt_785,-4455730.063537472
1ydt_787,-4377792.850778821
1ydt_817,-3905538.2897419576
1ydt_818,-3962481.727286069
1ydt_832,-4292883.007662935
1ydt_837,-4364715.86385095
1ydt_840,-3784079.22169436
1ydt_882,-3711043.616710664
1ydt_892,-3890155.9599662996
1ydt_916,-3660069.8781993478
1ydt_918,-3965151.874184579
1ydt_926,-3775796.9665788654
1ydt_936,-3878010.195810284
1ydt_953,-5011008.675368086
1ydt_994,-4091790.667463194
