#code,score
3bv9_118,-4242548.759422134
3bv9_119,-3803467.8404561724
3bv9_120,-4848511.522771324
3bv9_124,-5562809.257116711
3bv9_13,-4137337.2467846978
3bv9_133,-4379770.475630368
3bv9_134,-3437388.065384723
3bv9_137,-5034923.718103349
3bv9_141,-3189201.1112525775
3bv9_148,-4804365.857904245
3bv9_15,-3695812.750882881
3bv9_156,-4263659.984398098
3bv9_166,-2978396.3876603614
3bv9_167,-4096632.054853163
3bv9_190,-2179230.2916746805
3bv9_195,-4858944.327688217
3bv9_204,-4932150.62516147
3bv9_227,-12479191.04020748
3bv9_231,-3011091.253587003
3bv9_233,-10986179.467441484
3bv9_239,-11439741.431894485
3bv9_240,-6579693.467727591
3bv9_244,-12430183.404341983
3bv9_25,-3204513.3134848797
3bv9_264,-5171006.267873661
3bv9_271,-5710706.902200181
3bv9_277,-7384859.499281309
3bv9_279,-7025625.912391146
3bv9_298,-7025724.114476909
3bv9_308,-5512397.031448529
3bv9_317,-5116670.5593726905
3bv9_324,-4200729.282852409
3bv9_325,-5332556.817473066
3bv9_326,-4773638.3819836
3bv9_332,-4922971.531060704
3bv9_339,-5408820.472008076
3bv9_345,-4977932.493139613
3bv9_35,-4954644.205595843
3bv9_353,-7050933.220102204
3bv9_370,-3445569.1521053785
3bv9_384,-3206461.9890092923
3bv9_388,-4591311.409744149
3bv9_392,-4705002.127117065
3bv9_393,-4191830.2767777187
3bv9_40,-5000876.559716483
3bv9_441,-6666583.288297663
3bv9_444,-7704792.327153127
3bv9_456,-14213465.009174794
3bv9_460,-17134750.128247093
3bv9_50,-4478710.041909873
3bv9_53,-3834508.627190935
3bv9_533,-4156624.3937286832
3bv9_550,-7478771.745197545
3bv9_582,-6604191.270760202
3bv9_589,-7882863.177850711
3bv9_597,-11365913.24098771
3bv9_618,-9820694.484538605
3bv9_667,-7976065.82659779
3bv9_684,-18924140.07147522
3bv9_688,-3988341.5095729274
3bv9_693,-13478846.66089536
3bv9_71,-4522793.2325338675
3bv9_743,-3569549.438175834
3bv9_751,-4217393.751127853
3bv9_752,-4367995.184814912
3bv9_754,-3832625.351438185
3bv9_756,-3420341.513922799
3bv9_757,-4173082.5472608437
3bv9_762,-4209379.439673578
3bv9_767,-3171099.142702657
3bv9_770,-4112296.769799693
3bv9_771,-3823028.1435263385
3bv9_779,-3527241.5618705475
3bv9_780,-3462633.7483003302
3bv9_783,-3742438.86150928
3bv9_784,-4512819.700617122
3bv9_787,-2771658.9402856347
3bv9_788,-5021241.292473999
3bv9_804,-4172236.069187273
3bv9_812,-5089496.346629155
3bv9_836,-4516314.303081444
3bv9_851,-5602224.994110773
3bv9_865,-4224579.804850194
3bv9_88,-4264582.517456911
3bv9_888,-4279125.387338341
3bv9_92,-5376079.967582257
3bv9_949,-4665235.486678431
3bv9_951,-4815274.538306958
3bv9_954,-4571809.316919357
3bv9_968,-6108444.906196225
3bv9_971,-6080939.118594171
3bv9_976,-4219191.928912787
3bv9_98,-4570614.507533788
3bv9_987,-4824258.679097629
