#code,score
2qbp_100,-1253.172492204395
2qbp_103,-1063.2867670311807
2qbp_110,-1199.069620551286
2qbp_118,-1174.7389733914113
2qbp_125,-1098.9739666361759
2qbp_13,-1656.7329103748568
2qbp_152,-1275.4225335055537
2qbp_155,-1231.918665538901
2qbp_158,-1032.01773722853
2qbp_160,-1089.618998581907
2qbp_168,-1328.7635355591622
2qbp_187,-1260.8364586445314
2qbp_19,-1179.2589995480614
2qbp_191,-1476.336588558258
2qbp_204,-1580.203468002252
2qbp_207,-1203.7914879952966
2qbp_208,-1227.3403152740752
2qbp_225,-1638.2995826277631
2qbp_23,-1275.1876534897108
2qbp_233,-1196.0433841201284
2qbp_234,-1002.4637116558503
2qbp_239,-1283.989838735458
2qbp_255,-1177.5988373700181
2qbp_256,-1407.730549290006
2qbp_259,-1654.7225328623124
2qbp_260,-1541.0013134653277
2qbp_265,-1536.252247133552
2qbp_268,-1364.2891405519185
2qbp_27,-1526.2370148484554
2qbp_272,-1510.263745205406
2qbp_276,-1733.4051873848957
2qbp_28,-1444.1719557583513
2qbp_283,-1291.5066505560208
2qbp_286,-1264.5178230374402
2qbp_288,-1478.4196181200282
2qbp_29,-1647.2900558806728
2qbp_292,-1442.0189709780973
2qbp_297,-1148.6626417174982
2qbp_310,-1583.2335673472478
2qbp_35,-1248.2408905806003
2qbp_368,-1027.0283030434025
2qbp_37,-1556.1987984246543
2qbp_371,-1118.3588616387074
2qbp_411,-1827.9569171436774
2qbp_415,-2100.404141561487
2qbp_463,-1828.2619801309993
2qbp_464,-1441.6234895759978
2qbp_488,-2040.2088194613843
2qbp_489,-1762.5865808826684
2qbp_491,-1997.7559150031768
2qbp_498,-1752.2252077969515
2qbp_50,-1115.6712290964324
2qbp_503,-1093.08369037744
2qbp_504,-939.4793228888119
2qbp_528,-1767.585367636216
2qbp_53,-1409.5504214238429
2qbp_546,-1039.4046649402446
2qbp_549,-1177.6440470583773
2qbp_554,-1770.2652761329916
2qbp_558,-1206.2592201353714
2qbp_559,-1415.9352914175595
2qbp_561,-1830.3311115385748
2qbp_567,-1565.7208856091436
2qbp_572,-1260.2496327890935
2qbp_585,-1033.088892067452
2qbp_591,-1664.8260559519988
2qbp_593,-934.2124194899625
2qbp_596,-1269.1557795114759
2qbp_608,-1603.5353112176797
2qbp_615,-1602.572747560588
2qbp_622,-1636.6954250624701
2qbp_623,-1423.6910436212413
2qbp_630,-1548.4879989245615
2qbp_631,-1152.2552398296505
2qbp_648,-1201.1486907661574
2qbp_650,-1137.703053577474
2qbp_654,-1749.3806270020077
2qbp_656,-1327.1496322564042
2qbp_665,-1167.0580025255829
2qbp_676,-1532.9535543986437
2qbp_690,-1559.8889680489372
2qbp_693,-1208.60580196962
2qbp_695,-1363.763964625982
2qbp_71,-1212.8532869800626
2qbp_74,-1192.790195009561
2qbp_741,-1483.774940672318
2qbp_744,-1340.9819274687854
2qbp_78,-1099.3236603338885
2qbp_79,-1405.756134489468
2qbp_80,-1423.1285183342013
2qbp_84,-1278.7950618580473
2qbp_85,-1598.133794507972
2qbp_890,-1445.1854605974484
2qbp_92,-1523.3179203055688
2qbp_94,-1617.7165477450028
2qbp_97,-1684.3016669842218
