#code,score
3e92_106,-1700.5241450547053
3e92_17,-1666.713073236827
3e92_19,-1696.8331556689548
3e92_332,-1739.7068025274618
3e92_407,-1710.38455478013
3e92_418,-1792.9575793571057
3e92_423,-1796.6692548398344
3e92_425,-1792.5279702894798
3e92_434,-1800.8578216052288
3e92_435,-1876.3708588360416
3e92_436,-1645.4886829599461
3e92_438,-1900.3742888639742
3e92_446,-1965.575531846916
3e92_449,-1770.4786869752647
3e92_450,-1808.747037817959
3e92_453,-1884.8588073331277
3e92_470,-1863.031872877175
3e92_471,-1767.7740856807075
3e92_475,-1758.294936526058
3e92_482,-1732.130141658337
3e92_490,-1555.8858856068723
3e92_493,-1876.2052517018617
3e92_497,-1800.9917427032983
3e92_498,-1821.577194197519
3e92_500,-1753.1623599957613
3e92_506,-1320.7270346832522
3e92_513,-1544.5180946931785
3e92_518,-1541.2775962974317
3e92_523,-1433.2033402947898
3e92_525,-1397.1832612146982
3e92_526,-1587.040817325658
3e92_528,-1614.0256897326797
3e92_534,-1601.416261512528
3e92_538,-1609.6069757070627
3e92_540,-1471.0853138491518
3e92_541,-1670.5402559030802
3e92_542,-1294.1538291056272
3e92_544,-1176.8857099232685
3e92_545,-1466.6569751359157
3e92_546,-1444.313748258471
3e92_547,-1637.7117909054575
3e92_551,-1455.8487469076433
3e92_552,-1290.7266831521817
3e92_553,-1662.4551618512066
3e92_554,-1216.2221960616446
3e92_555,-1361.1956395377167
3e92_557,-1277.6635612413013
3e92_560,-1507.0366169472866
3e92_562,-1596.3277293474578
3e92_578,-1461.0962216215034
3e92_579,-1606.3467328702948
3e92_581,-1370.459994351769
3e92_582,-1433.9176618819572
3e92_588,-1538.8252315695322
3e92_589,-1453.4001509098355
3e92_590,-1353.0905647375923
3e92_593,-1351.6701623266374
3e92_594,-1408.9351014699569
3e92_596,-1435.8194067055365
3e92_597,-1403.6763254325704
3e92_598,-1373.7595453897213
3e92_599,-1263.2308772574506
3e92_623,-1761.0451843517797
3e92_625,-1385.0036413429275
3e92_627,-1561.611672708528
3e92_64,-1662.9575211925535
3e92_656,-1548.9231403474778
3e92_664,-1698.70867079376
3e92_669,-1941.0202394477521
3e92_670,-1709.9009261951487
3e92_678,-1509.1982785838643
3e92_679,-1924.2375766378157
3e92_685,-1406.3087193708632
3e92_689,-1360.9955149316536
3e92_692,-1748.1312653417376
3e92_693,-1882.5787222470642
3e92_697,-1619.8457280147654
3e92_698,-1931.4303699408263
3e92_732,-1182.126561037301
3e92_733,-1189.4325563050247
3e92_735,-1145.5645528749512
3e92_745,-1207.3057994289672
3e92_752,-1180.0467845468488
3e92_758,-1458.897714547314
3e92_760,-1339.1978230251793
3e92_845,-1196.7028902395418
3e92_846,-1543.4904077167846
3e92_847,-1465.9957250556483
3e92_907,-1729.3265191072312
3e92_940,-1767.5003844190824
