#code,score
1qkt_119,-2200061.3330969694
1qkt_132,-2209556.5739394887
1qkt_144,-1945682.8753602628
1qkt_150,-2192487.894381464
1qkt_31,-2164791.5610683844
1qkt_404,-2191425.732242399
1qkt_486,-1400200.5867597093
1qkt_500,-1091384.2222171084
1qkt_549,-1467794.238700534
1qkt_55,-2229964.1150269867
1qkt_557,-1107541.0168124065
1qkt_594,-143881.11291012104
1qkt_598,-735971.618296201
1qkt_608,-1198885.3901923187
1qkt_636,915926.8108493546
1qkt_640,-670518.7652750035
1qkt_642,-1031174.9081973027
1qkt_647,-969374.5394691762
1qkt_655,-940867.2474903092
1qkt_661,-1596276.344508344
1qkt_666,-122318.25763901247
1qkt_674,1070196.3005464023
1qkt_698,850501.659013131
1qkt_714,-2447567.931745655
1qkt_718,-2466885.760348995
1qkt_728,-2368862.8502097633
1qkt_734,-2103604.9092804985
1qkt_735,-1891817.4981810034
1qkt_736,-2097735.3973156027
1qkt_737,-2117324.65982504
1qkt_738,-1898145.1221558058
1qkt_740,-2089303.4471738634
1qkt_742,-2010379.7558203277
1qkt_744,-1889337.0241021882
1qkt_746,-1947120.36153816
1qkt_750,-1865199.1503297058
1qkt_751,-1959180.2044909876
1qkt_752,-1935696.9497724317
1qkt_758,-1740001.396112239
1qkt_762,-1719391.0477516681
1qkt_765,-1983346.233711277
1qkt_766,-2124111.2371921493
1qkt_770,-1884841.479670107
1qkt_774,-1532138.4540617892
1qkt_775,-1801666.2531512687
1qkt_776,-1272031.1171995061
1qkt_826,-2398305.313455702
1qkt_834,-2447536.820292687
1qkt_842,-1998603.0920415632
1qkt_848,-2076236.1420832907
1qkt_851,-2069162.3741050467
1qkt_855,-1884141.8268529482
1qkt_858,-2118196.681050786
1qkt_86,-2383967.626712526
1qkt_860,-1896401.8728393384
1qkt_862,-1773641.9407800667
1qkt_866,-1894651.794662441
1qkt_867,-1702686.032823008
1qkt_873,-2106982.3597257277
1qkt_875,-1888329.1159288036
1qkt_977,-2344560.030785065
