#code,score
1y6r_232,-2275708.0814678445
1y6r_288,-2170725.5491790874
1y6r_405,-1322389.7135767876
1y6r_406,-556810.050729994
1y6r_413,506031.2001406694
1y6r_419,-57607.950192049284
1y6r_424,2055315.6413651856
1y6r_429,-455418.1688729495
1y6r_430,2899018.042247097
1y6r_434,-559473.3012993254
1y6r_438,-165045.83306076252
1y6r_440,793742.3336646191
1y6r_445,940408.5253208607
1y6r_450,1695484.6949971279
1y6r_455,11241155.870800037
1y6r_457,158569.4248391953
1y6r_463,3021183.7341424716
1y6r_473,1293996.9981013422
1y6r_476,745047.7156434793
1y6r_480,-1462007.6714123397
1y6r_481,-61769.691655908675
1y6r_482,3679935.225361397
1y6r_484,7815007.4587784745
1y6r_496,3486815.5105382227
1y6r_510,2640270.111061467
1y6r_535,103214.59442245815
1y6r_551,438432.6873868264
1y6r_570,-384311.9627441289
1y6r_572,1346659.973068987
1y6r_575,1144654.5870982236
1y6r_579,-324424.64867123746
1y6r_595,-96069.53710647774
1y6r_603,-649176.0090558161
1y6r_604,1384325.9055251651
1y6r_613,594649.4391568422
1y6r_645,6456102.891801737
1y6r_650,1761832.3302440606
1y6r_652,219705.4742976849
1y6r_655,-879724.8679876744
1y6r_656,978604.6744661256
1y6r_657,2413401.2747378037
1y6r_661,9864.287735227237
1y6r_666,7896340.290423591
1y6r_678,105319.00091571035
1y6r_694,1382390.923554048
1y6r_696,1550785.6110057565
1y6r_698,368361.2286852995
1y6r_734,-2091583.2313724558
1y6r_806,-2359152.9650813923
1y6r_808,-2355844.1497886423
1y6r_809,-2346596.978815642
1y6r_819,-2313978.8352221036
1y6r_858,-2230983.31820052
1y6r_925,-2305374.1155735804
1y6r_947,-2312838.677833966
1y6r_968,-2270859.082611578
