#code,score
1ydt_1000,-2137062.7844144823
1ydt_121,-2670346.8412328917
1ydt_204,-2552866.3985963203
1ydt_207,-2331324.125409596
1ydt_214,-2382264.026500932
1ydt_215,-2494643.9245533766
1ydt_241,-2314384.0328316297
1ydt_246,-2386201.0346984044
1ydt_251,-2499740.119697665
1ydt_253,-1940026.4594801944
1ydt_254,-2317779.6218395256
1ydt_260,-2279440.347373802
1ydt_263,-2183688.3608332626
1ydt_267,-2584359.7369501414
1ydt_271,-2144239.9807094783
1ydt_275,-2038723.2112459755
1ydt_277,-2486932.662126497
1ydt_278,-1949431.3230282601
1ydt_279,-2530053.963757205
1ydt_281,-2427575.4198861877
1ydt_283,-2113976.8303463347
1ydt_300,-1879385.7954362244
1ydt_309,-2297765.253496946
1ydt_324,-2503762.7562954244
1ydt_34,-2371041.7095565586
1ydt_386,-2678547.332080356
1ydt_40,-2395262.5757540534
1ydt_401,-2047341.955331409
1ydt_404,-1248199.5006082288
1ydt_408,-1623340.6349773738
1ydt_412,4438598.026922738
1ydt_417,-482211.09957014566
1ydt_425,708663.6504110894
1ydt_432,1985718.0061977748
1ydt_446,1890445.382188396
1ydt_46,-2236635.1138337827
1ydt_464,-368170.15112519934
1ydt_47,-2608253.765640939
1ydt_470,-1086825.013001758
1ydt_474,-1401160.843467315
1ydt_483,826296.4394169246
1ydt_487,-234810.7061321572
1ydt_494,453200.91031733586
1ydt_495,1525524.2844308668
1ydt_500,-839200.2180432144
1ydt_532,-11567.253648079066
1ydt_538,-1254828.788944722
1ydt_539,-1276463.5582657687
1ydt_549,-72593.73944845283
1ydt_556,-1277608.0419233176
1ydt_558,-926077.4082595798
1ydt_564,632933.92709193
1ydt_576,3271389.955922127
1ydt_578,4207714.704962336
1ydt_609,-758191.4668055385
1ydt_625,-1035645.7267713741
1ydt_632,718969.5618054522
1ydt_643,193639.1238773688
1ydt_644,-735992.1093019897
1ydt_655,-372839.5743005276
1ydt_659,2023097.0430644853
1ydt_677,807187.4399939637
1ydt_678,2815148.9409311404
1ydt_684,-135348.06455779247
1ydt_694,-122126.5537578
1ydt_697,1547841.089214355
1ydt_705,-2570617.2589688157
1ydt_709,-2138266.8416695963
1ydt_711,-2535855.342203981
1ydt_715,-1990159.3847232019
1ydt_730,-1883613.324021136
1ydt_75,-2382775.2324307146
1ydt_750,-1556477.447354645
1ydt_766,-2035927.7574366021
1ydt_775,-1899387.7809988179
1ydt_785,-1823633.3142906115
1ydt_787,-2041233.9592174871
1ydt_817,-2557566.2942035985
1ydt_818,-1837433.7007983457
1ydt_832,-2405002.089800968
1ydt_837,-2017699.976313815
1ydt_840,-2440198.7164295036
1ydt_882,-2243939.6378485723
1ydt_892,-1855862.7253610713
1ydt_916,-2050838.558461619
1ydt_918,-2410135.476725808
1ydt_926,-2254834.9288882567
1ydt_936,-1844042.451183574
1ydt_953,-2085389.9609978867
1ydt_994,-1871904.7581769165
