#code,score
3gc5_402,-1267345.4596276337
3gc5_403,-1369937.9733384592
3gc5_406,94236.24346160977
3gc5_408,-1651680.9196263952
3gc5_426,-875052.4822165301
3gc5_427,-312341.9780160504
3gc5_428,-1048915.9913666588
3gc5_436,-383129.5054532079
3gc5_446,1069864.9531410842
3gc5_451,-912167.2726767715
3gc5_457,-492963.5564641654
3gc5_460,-981718.2095687405
3gc5_461,-276415.354284794
3gc5_463,-93554.75780438588
3gc5_464,-1059887.8901594556
3gc5_467,3867550.938508989
3gc5_471,1872822.5616102351
3gc5_475,-1471303.5136549878
3gc5_492,-208508.09978389717
3gc5_495,-1313441.2669698268
3gc5_500,-1533002.4806196592
3gc5_507,-904109.7620606339
3gc5_516,-971972.446537973
3gc5_518,-604178.3159697665
3gc5_524,-1344342.9668611186
3gc5_532,-1304522.531745343
3gc5_536,-552759.5999160121
3gc5_551,-347846.68862959853
3gc5_556,964217.3988580963
3gc5_559,-1530244.3218321481
3gc5_563,-866943.6195339632
3gc5_565,294786.7317338691
3gc5_566,-801684.7448555267
3gc5_567,-861805.6513730723
3gc5_574,-603164.2012803168
3gc5_577,1862357.2167045353
3gc5_580,3096117.88759308
3gc5_582,2350012.080136312
3gc5_585,-391228.49517927045
3gc5_589,4470.6330828995415
3gc5_603,-1331255.868693384
3gc5_604,-1141091.6737034088
3gc5_605,-282772.96046057704
3gc5_606,-1034300.5599337678
3gc5_607,-1325805.952518327
3gc5_617,-199047.9721433368
3gc5_627,6085144.317095206
3gc5_631,-1166408.7956385284
3gc5_632,988057.7803007535
3gc5_636,-1301266.8971305778
3gc5_638,-1045665.647325711
3gc5_646,-692552.5893871457
3gc5_647,-1097881.3006622724
3gc5_657,-319202.2433375714
3gc5_662,-1356594.3978477453
3gc5_663,-1385836.3676378406
3gc5_679,-964247.8836440508
3gc5_682,-1331124.2099567233
3gc5_691,-628505.7767082435
3gc5_696,-372740.0450567091
3gc5_715,-1449845.3710439843
3gc5_733,-1282242.837596799
3gc5_739,-1170337.0029545014
3gc5_749,-1121709.4881947716
3gc5_752,-1130896.9784677925
3gc5_755,-1144322.9711078198
3gc5_757,-1249277.1914598956
3gc5_758,-1156452.7696307455
3gc5_759,-1121208.963473434
3gc5_764,-1102222.343855016
3gc5_770,-961963.9080706703
3gc5_772,-941427.7998924423
3gc5_773,-727214.1234832822
3gc5_775,-955913.9805460213
3gc5_776,-967706.3910048144
3gc5_777,-956675.9476198448
3gc5_778,-1038334.2374591889
3gc5_779,-977744.1100760609
3gc5_780,-1017243.999732992
3gc5_783,-885525.4512913558
3gc5_784,-672206.3243122682
3gc5_822,-1431748.5207863569
3gc5_878,-1133677.6103635372
3gc5_879,-1129635.0809425942
3gc5_973,-1201353.09237557
