#code,score
4hge_202,-1859434.5957975585
4hge_203,-1957549.1764006682
4hge_231,-1918020.8999452717
4hge_310,-1993838.68143055
4hge_311,-1794491.1112519586
4hge_356,-1983140.821443601
4hge_407,-1770085.7387639047
4hge_414,363973.03148581466
4hge_416,-1946263.8431083038
4hge_422,1199425.463866813
4hge_423,314774.27536017087
4hge_424,3061196.5929992762
4hge_433,2667859.489175432
4hge_437,-950653.9799420125
4hge_438,-473020.68639688974
4hge_446,13711063.972910961
4hge_452,-259745.1307468516
4hge_456,-1714163.511453497
4hge_458,5772534.494652227
4hge_46,-1987394.73111091
4hge_462,-1106480.3307887865
4hge_464,-959052.1466128326
4hge_468,949755.0578088183
4hge_471,-1013348.406000371
4hge_473,-1131987.7120983687
4hge_477,5209061.147320753
4hge_478,-1545524.8618816007
4hge_498,-309267.75466899975
4hge_503,-1924409.2803016324
4hge_530,-1546986.377291204
4hge_534,-1168626.9428981678
4hge_543,979368.9845417421
4hge_548,-1190654.9533445928
4hge_549,-962844.2929818366
4hge_55,-1938738.0589902448
4hge_555,-1269266.41999401
4hge_558,1040247.1544319297
4hge_559,-628214.7784226263
4hge_572,25831.641185467506
4hge_573,-1094168.1187119733
4hge_574,-236561.48586687198
4hge_581,-746109.2147898204
4hge_583,-556322.7541305078
4hge_602,92622.24250003329
4hge_605,-898752.1261046896
4hge_612,-1517936.3976083621
4hge_617,326251.76813099126
4hge_621,-1493560.4525340346
4hge_638,-1537600.8157428086
4hge_643,-1337135.915624798
4hge_646,-1143913.1895560944
4hge_654,-1163257.4424392362
4hge_655,-497446.9529942512
4hge_659,-823240.8989811426
4hge_662,-968563.7924758167
4hge_666,103134.83923784038
4hge_667,-1455677.7101728402
4hge_671,-273766.52490345074
4hge_689,407938.9195980082
4hge_692,64933.868842923854
4hge_695,-1289652.4557003826
4hge_699,840139.2091572311
4hge_700,-1047808.2797437968
4hge_737,-1557381.1495584846
4hge_742,-1732012.2965078866
4hge_749,-1342207.3738722252
4hge_797,-1810195.0143571484
4hge_828,-1557381.1495584846
4hge_848,-1342207.3738722252
4hge_943,-1861148.388029465
