#code,score
3ozt_102,-264.2716378438844
3ozt_105,-500.80505754015576
3ozt_112,-207.7977945651268
3ozt_113,-377.1961881470277
3ozt_116,-433.37905183141316
3ozt_141,-440.319519279215
3ozt_143,-447.82776370157524
3ozt_15,-380.9764261792308
3ozt_151,-412.620860811603
3ozt_171,-520.192087278705
3ozt_192,-31.85291346907593
3ozt_193,-373.20516493543573
3ozt_2,-560.9180637911719
3ozt_20,-400.6061580491044
3ozt_200,-300.5004021483399
3ozt_202,-592.4574808836055
3ozt_206,-319.8250367296781
3ozt_207,-354.52748636112767
3ozt_212,87.07216260956962
3ozt_251,-439.9144567017679
3ozt_257,-320.004533115857
3ozt_267,-499.9887071010561
3ozt_271,-272.1645375097779
3ozt_283,-500.7734522993692
3ozt_286,-575.4072786862666
3ozt_320,-313.77432426008374
3ozt_332,-432.1014990514853
3ozt_339,-500.7184576420545
3ozt_372,-633.0222944336746
3ozt_387,-622.298112749243
3ozt_405,244.9178783913098
3ozt_407,1181.0995476453745
3ozt_413,17.61383259529364
3ozt_415,1667.9503948193933
3ozt_421,785.5955478713936
3ozt_423,1104.481996012045
3ozt_427,825.0263897030741
3ozt_442,-140.74918545316976
3ozt_444,444.4853888293496
3ozt_448,7173.7435958739325
3ozt_457,1001.748955876163
3ozt_460,1744.6864461718062
3ozt_462,237.3202759180804
3ozt_469,1113.766712554332
3ozt_471,79.01751835321188
3ozt_476,1971.9900062467868
3ozt_483,921.2646960958365
3ozt_487,795.3515389624748
3ozt_492,370.7208987240285
3ozt_496,643.1320918305016
3ozt_497,527.0343513235148
3ozt_499,845.1121258109375
3ozt_503,61.79298729196769
3ozt_507,427.58631991888495
3ozt_509,-64.38397127416445
3ozt_520,-115.90560036799286
3ozt_526,39.33392252392876
3ozt_528,371.3920789492894
3ozt_534,154.90701033394677
3ozt_539,30.58764102154309
3ozt_541,172.3010368924052
3ozt_543,774.8215961849929
3ozt_544,253.21646186710856
3ozt_550,1030.5550825831285
3ozt_562,18.015509134726248
3ozt_564,-70.0532989776872
3ozt_566,96.06249813704586
3ozt_574,-35.557712810734614
3ozt_577,223.18910961043835
3ozt_585,17.517587922850137
3ozt_586,467.75714104862067
3ozt_588,1104.7424376514925
3ozt_599,316.4529237184264
3ozt_603,-113.8288198529908
3ozt_606,21.280818793176078
3ozt_609,-262.2120349472751
3ozt_628,-175.10052789775668
3ozt_641,567.8747346695659
3ozt_655,694.3317431361179
3ozt_673,39.3251566469892
3ozt_675,383.89736523114925
3ozt_682,1507.6111268015115
3ozt_685,219.12147133832485
3ozt_689,3507.741171516716
3ozt_692,498.2229331856819
3ozt_693,1287.8750978274495
3ozt_698,40.064789770464046
3ozt_699,113.47115447316155
3ozt_7,-327.1809173312081
3ozt_70,-650.510693517141
3ozt_700,235.90405180716462
3ozt_702,-596.9449244288483
3ozt_71,-449.1010679143311
3ozt_758,-527.8348572141757
3ozt_787,-435.59059537174767
3ozt_82,-454.55360214140103
3ozt_85,-451.2582253813613
3ozt_915,-589.7842712526607
3ozt_98,-522.1201800129193
3ozt_99,-383.0149367589666
