#code,score
1vso_115,87067.074615
1vso_174,87770.37461500001
1vso_198,87088.474615
1vso_214,88374.66560000001
1vso_219,86531.674615
1vso_243,87049.66581000002
1vso_254,87494.8656
1vso_273,86626.36859999999
1vso_301,82009.54729999999
1vso_310,89257.53581000002
1vso_358,87527.53881
1vso_363,87770.37461500001
1vso_378,85888.2886
1vso_379,79021.586315
1vso_392,86220.7386
1vso_401,72643.69316
1vso_407,73332.49281
1vso_424,73374.78631
1vso_433,72044.91350999998
1vso_436,76384.3651
1vso_439,73476.18854999999
1vso_444,71159.85291499998
1vso_445,73197.83501
1vso_449,72289.84989999999
1vso_461,74511.14901
1vso_470,72820.57981
1vso_487,72064.80274999999
1vso_493,77048.718665
1vso_494,75007.33000499998
1vso_496,74527.63981
1vso_497,72558.13875999999
1vso_501,86277.317115
1vso_516,83801.35051
1vso_522,86307.705
1vso_545,75087.20626499999
1vso_547,85753.52166500001
1vso_549,75019.60311
1vso_557,72476.26275
1vso_558,78895.49881
1vso_571,81866.43535999999
1vso_573,76605.06991499999
1vso_575,72382.00180999999
1vso_577,83138.46329999999
1vso_579,71391.97901
1vso_580,75620.21610999998
1vso_581,72727.70821
1vso_585,70488.15480999999
1vso_596,71280.732765
1vso_597,81545.23596
1vso_609,72535.561
1vso_617,77936.65311
1vso_618,81494.87666000001
1vso_624,86552.04946000001
1vso_630,80013.49910999999
1vso_631,87272.31681
1vso_636,70491.49180999999
1vso_642,71556.18671
1vso_644,74158.18044999999
1vso_677,85969.93366000001
1vso_685,90177.70866500001
1vso_732,83062.130465
1vso_74,86528.604615
1vso_753,72050.49910999999
1vso_838,95994.48021000001
1vso_840,87173.55826499999
1vso_850,82637.25299999998
1vso_910,86659.00761500001
1vso_954,85277.11881000001
1vso_957,82907.62881
1vso_963,82436.18581
1vso_978,82612.150815
