#code,score
2xys_114,72962.77153999999
2xys_127,74532.69284999999
2xys_398,72704.07153999999
2xys_410,74850.77429999999
2xys_414,72704.07153999999
2xys_417,75128.94384999998
2xys_420,80030.69429999999
2xys_424,73671.01004999998
2xys_443,82045.80254
2xys_491,88272.27174000001
2xys_494,73421.73340999999
2xys_499,69692.1731
2xys_533,72811.07153999999
2xys_541,73129.07153999999
2xys_554,87736.652355
2xys_567,75962.05734
2xys_572,74578.74565999999
2xys_573,73542.31605
2xys_577,72363.51934
2xys_578,76261.08611499998
2xys_580,85994.47136499999
2xys_581,78576.3235
2xys_598,69382.7831
2xys_600,91267.762115
2xys_610,80454.64334999998
2xys_616,84895.18711500001
2xys_620,80011.26134
2xys_622,83065.81861
2xys_623,84649.406115
2xys_630,74942.30861
2xys_659,71196.56900999999
2xys_662,80130.37154000001
2xys_667,71688.86115
2xys_675,76419.61011499999
2xys_681,85940.65691000002
2xys_688,72614.62809999999
2xys_690,80403.71134
2xys_695,80945.26154
2xys_703,73656.76153999999
2xys_707,73467.76153999999
2xys_725,73567.72161
2xys_735,68888.93169999999
2xys_737,71796.96974
2xys_742,70799.05329999999
2xys_743,73058.88594
2xys_747,71040.57055
2xys_748,69069.07149999999
2xys_750,69518.53249999999
2xys_759,73588.82604999999
2xys_760,73304.51870999999
2xys_763,71687.21781
2xys_782,71720.26561
2xys_793,73908.68654
2xys_801,74946.50284999999
2xys_826,72704.07153999999
2xys_831,73628.25594
2xys_848,91543.36975000001
2xys_855,73744.95904999999
2xys_876,72704.07153999999
2xys_927,74298.43260999999
2xys_937,72704.07153999999
2xys_940,76666.19754
2xys_941,72992.18454
2xys_953,73658.10204999999
