#code,score
3ehy_106,-28.969468958788035
3ehy_140,-28.33160665240686
3ehy_141,-28.986081320279464
3ehy_183,-28.90310893403624
3ehy_229,-28.98249752699185
3ehy_232,-28.389349075136675
3ehy_309,-28.502002878423042
3ehy_349,-28.318169509939963
3ehy_376,-29.394253155931132
3ehy_395,-28.30107059312166
3ehy_406,-30.374890023305138
3ehy_407,-28.425573673946413
3ehy_433,-29.75555548383763
3ehy_437,-29.47522289710918
3ehy_443,-29.71295818141831
3ehy_447,-29.657089609542595
3ehy_463,-29.003880115225957
3ehy_471,-28.402465150887174
3ehy_476,-29.08262935425978
3ehy_477,-29.69155804394633
3ehy_481,-30.402325607814042
3ehy_482,-29.282173812904542
3ehy_485,-28.8263180890628
3ehy_486,-29.747570021184256
3ehy_492,-29.214180140585636
3ehy_493,-29.844195596615855
3ehy_495,-28.49191842510275
3ehy_496,-28.894235354410416
3ehy_500,-30.210317868011913
3ehy_502,-28.56444696872918
3ehy_509,-29.425605418171862
3ehy_512,-29.248870170011845
3ehy_521,-30.113011605945044
3ehy_535,-28.985634058080255
3ehy_537,-30.072987066401655
3ehy_54,-28.351853602693915
3ehy_543,-29.135162075142926
3ehy_545,-29.289634016423364
3ehy_551,-29.886353715860825
3ehy_564,-29.909589208674056
3ehy_570,-30.124637139002854
3ehy_576,-29.654264879838856
3ehy_592,-30.054588168335332
3ehy_615,-29.677432606670973
3ehy_619,-28.610803807816065
3ehy_622,-29.960149623064307
3ehy_623,-29.66082831464654
3ehy_632,-29.718363474034803
3ehy_637,-28.590204856300616
3ehy_642,-28.91573890858896
3ehy_646,-29.731415100214313
3ehy_667,-28.91325831762024
3ehy_668,-30.082540040193003
3ehy_671,-29.290967352604937
3ehy_674,-28.737983637314652
3ehy_678,-29.346863703703484
3ehy_685,-29.514697328294815
3ehy_693,-29.198393010969486
3ehy_698,-29.149124627127538
3ehy_706,-28.917322715127135
3ehy_719,-28.746762157020736
3ehy_728,-28.882529614242152
3ehy_731,-28.513140409020572
3ehy_735,-28.823466791247025
3ehy_752,-29.048290722975757
3ehy_753,-28.9688349728315
3ehy_758,-29.884227940436503
3ehy_759,-29.643757403211083
3ehy_764,-28.994176740776858
3ehy_768,-28.969850101871767
3ehy_769,-29.4252575086451
3ehy_777,-29.14946330583132
3ehy_779,-28.13647005120861
3ehy_785,-28.94067477755628
3ehy_789,-29.167598049803022
3ehy_793,-29.219722374757776
3ehy_858,-28.905465577446343
3ehy_919,-28.744775016705262
3ehy_977,-28.973220621358614
3ehy_985,-29.598843333064583
