#code,score
2hb1_102,99201.74880000002
2hb1_134,100851.50156666666
2hb1_148,102232.39713333335
2hb1_149,99106.56348300002
2hb1_167,100621.71323333333
2hb1_175,99301.0439
2hb1_313,100838.21146666667
2hb1_330,100750.95046666668
2hb1_376,99160.527
2hb1_408,107339.39016666668
2hb1_417,106115.37638300001
2hb1_424,135000.18196666663
2hb1_427,151845.41133333326
2hb1_438,157428.1081833333
2hb1_440,94008.45398300003
2hb1_447,151748.83146666663
2hb1_448,154815.7398333333
2hb1_457,99106.82846666669
2hb1_463,153565.44029999996
2hb1_477,98960.18914966668
2hb1_480,160007.87548299995
2hb1_485,161898.48899999994
2hb1_495,96956.62803333334
2hb1_504,99771.62323333336
2hb1_559,162192.9361163333
2hb1_562,97255.99410000001
2hb1_573,151788.8544496666
2hb1_574,156300.6199833333
2hb1_613,107105.33631633336
2hb1_640,101062.46336666668
2hb1_642,94759.53813333335
2hb1_664,92933.38440000002
2hb1_666,99874.91743333336
2hb1_675,151834.13656666662
2hb1_689,154519.75681633328
2hb1_690,100566.85723333334
2hb1_695,162102.2718163333
2hb1_763,96516.61573333335
2hb1_772,104872.88671633335
2hb1_785,104912.96636666667
2hb1_981,102753.60020000002
