#code,score
2xbv_103,102010.59353333335
2xbv_109,102654.69700000001
2xbv_114,119489.3262333333
2xbv_119,100375.03376666669
2xbv_124,102240.52336666669
2xbv_136,104895.55850000001
2xbv_137,123123.20279999998
2xbv_144,113993.44636666666
2xbv_154,116079.40243333335
2xbv_157,114285.85089999999
2xbv_164,116119.0581
2xbv_167,126665.54246666665
2xbv_184,106183.30233333335
2xbv_195,104228.91533333334
2xbv_198,105839.59556666669
2xbv_199,120048.01733333332
2xbv_203,108737.97400000002
2xbv_226,103926.40256666667
2xbv_23,116211.02299999997
2xbv_267,104171.60193333335
2xbv_277,108655.53833333336
2xbv_293,103005.7749
2xbv_302,101195.089
2xbv_304,104304.25146666668
2xbv_309,124150.86496666662
2xbv_310,102781.51893333334
2xbv_316,119600.85704999996
2xbv_317,117734.94603333331
2xbv_336,102949.00350000002
2xbv_340,107263.93310000001
2xbv_344,104336.72806666669
2xbv_347,118880.19453333333
2xbv_353,121273.68189999998
2xbv_355,120510.33013333334
2xbv_364,105167.85066666668
2xbv_378,112059.65910000002
2xbv_385,105652.62733333334
2xbv_386,100965.34023333337
2xbv_389,102684.03013333335
2xbv_391,106356.90243333337
2xbv_392,120474.57366666665
2xbv_397,103986.03823333335
2xbv_399,118057.38613333332
2xbv_401,164381.20843333335
2xbv_434,176383.63813333336
2xbv_435,173184.33530000004
2xbv_444,160325.21079999997
2xbv_463,180573.01166666666
2xbv_475,188018.53180000003
2xbv_477,176309.34399999998
2xbv_52,100979.81633333335
2xbv_532,98989.95093333336
2xbv_559,103633.41706666668
2xbv_565,115808.5756
2xbv_746,109155.21846666669
2xbv_747,118923.36816666662
2xbv_752,120636.78616666664
2xbv_753,116930.8605
2xbv_754,101735.85506666669
2xbv_756,106758.41553333335
2xbv_761,117648.90289999997
2xbv_762,114785.19150000002
2xbv_766,101032.11773333335
2xbv_769,118165.88723333331
2xbv_770,102932.31573333335
2xbv_771,112324.92073333335
2xbv_773,113968.84016666666
2xbv_777,121445.80329999996
2xbv_779,114990.99363333335
2xbv_780,116684.11293333332
2xbv_782,102051.95506666668
2xbv_784,120093.09199999998
2xbv_8,104028.9576666667
2xbv_825,117182.49533333331
2xbv_855,100275.8969
2xbv_866,116703.52766666666
2xbv_880,120177.24283333331
2xbv_883,116982.46983333332
2xbv_884,99288.71473333336
2xbv_984,120846.63143333331
