#code,score
2wca_144,-24.136836442469434
2wca_161,-25.23883033780572
2wca_173,-25.05900482794424
2wca_20,-25.27366464093416
2wca_201,-24.571247922337918
2wca_206,-24.504859613123717
2wca_219,-24.30970994285427
2wca_225,-24.958754930286783
2wca_23,-25.94123399231159
2wca_235,-25.30380544107995
2wca_241,-25.667075158226712
2wca_254,-25.58319437155046
2wca_264,-24.325856549756853
2wca_267,-24.887826337817003
2wca_269,-24.47579311035887
2wca_273,-24.17225107743392
2wca_281,-25.15631399821698
2wca_287,-25.141659553865416
2wca_37,-24.662153545203946
2wca_414,-25.78289214214537
2wca_417,-16.50555768333713
2wca_444,-17.873958326376297
2wca_478,-16.62593742577998
2wca_483,-18.084074734049604
2wca_488,-16.63591029363878
2wca_496,-25.821010370128082
2wca_5,-24.771637004119338
2wca_545,-17.72313439085714
2wca_550,-26.09383234733688
2wca_564,-17.783971518802954
2wca_575,-18.14220069011762
2wca_585,-25.699308367574716
2wca_586,-16.614077611130472
2wca_587,-24.69206766446864
2wca_592,-25.375643911918566
2wca_596,-16.982588226409902
2wca_599,-17.253203224447038
2wca_600,-24.807504672334765
2wca_610,-17.604743371932404
2wca_613,-24.75962253713752
2wca_616,-25.285114229398292
2wca_638,-25.323193260933827
2wca_65,-25.564187869047146
2wca_653,-25.670494380860237
2wca_657,-24.74728959617835
2wca_662,-25.7702988964165
2wca_674,-17.31753000479202
2wca_679,-26.114377591198274
2wca_692,-25.411053897280627
2wca_700,-25.36598001484991
2wca_72,-25.32497532381098
2wca_731,-25.95014986884005
2wca_745,-25.224354847409167
2wca_755,-26.29267939115765
2wca_760,-25.618779167996944
2wca_773,-25.380422246515764
2wca_786,-25.91630708721709
2wca_788,-24.94098038912632
2wca_791,-24.709337710026844
2wca_81,-25.1925778958917
2wca_816,-25.447875690303018
2wca_82,-24.282214023124084
2wca_829,-25.751653201767407
2wca_851,-25.021486703886875
2wca_853,-24.43709559092935
2wca_855,-25.195744340093984
2wca_887,-25.4200049500942
2wca_90,-25.00418684681288
2wca_903,-25.464448887311555
2wca_908,-24.57231479838128
2wca_92,-24.603318216400474
2wca_925,-25.198646621298852
2wca_936,-25.426563530073686
2wca_951,-25.24449913841448
2wca_960,-25.967417474364456
2wca_961,-25.83198750285486
2wca_965,-25.487563634310305
2wca_971,-25.52569308864481
2wca_974,-24.793663179060122
2wca_983,-25.705596667193298
