#code,score
1h23_12,-12833538.489139829
1h23_138,-12107435.32405399
1h23_140,-12540593.182512295
1h23_163,-14407521.166275047
1h23_185,-13122044.006541356
1h23_198,-12592300.64328678
1h23_205,-14245540.124328883
1h23_209,-12168892.307081724
1h23_221,-12506240.440354483
1h23_238,-13396793.194697428
1h23_24,-13458272.64463798
1h23_242,-14061419.928481923
1h23_253,-13293105.489217727
1h23_262,-12536344.417952448
1h23_277,-12430204.922691295
1h23_296,-12713118.234229425
1h23_304,-12571518.276312232
1h23_335,-11907850.91335384
1h23_347,-12647927.162546005
1h23_370,-11192918.913530279
1h23_377,-11141399.90001135
1h23_403,-23420766.1825896
1h23_425,-22534477.051208958
1h23_43,-12834920.93228053
1h23_432,-22098985.734731346
1h23_438,-23218545.634962
1h23_451,-28895959.121736962
1h23_471,-15084071.871227415
1h23_476,-23071982.031289417
1h23_496,-19940248.490680754
1h23_5,-13376918.210248634
1h23_549,-15232953.136174314
1h23_552,-20110491.551629104
1h23_579,-12407226.602714784
1h23_584,-21212109.220131785
1h23_588,-14750514.966994857
1h23_589,-11949078.902892109
1h23_590,-23763907.980839867
1h23_597,-17127641.579053983
1h23_621,-19415277.416088004
1h23_640,-23163391.431997333
1h23_641,-10691059.1854768
1h23_643,-13480288.240505688
1h23_648,-14832538.563573575
1h23_660,-26483157.436715823
1h23_663,-12504826.10448022
1h23_667,-16729032.524765883
1h23_669,-20114183.642913125
1h23_676,-18793563.291229244
1h23_678,-20576934.392138116
1h23_686,-9547317.482721984
1h23_69,-12877505.656979326
1h23_699,-20901894.106414773
1h23_728,-14639506.127564318
1h23_732,-14378226.16824474
1h23_77,-11810216.370406276
1h23_783,-14713737.104054404
1h23_8,-14543291.394038677
1h23_81,-12788136.92772749
1h23_815,-14070930.093391027
1h23_818,-14610748.415354997
1h23_82,-14547837.851590432
1h23_88,-13273217.86247515
1h23_90,-14769990.603627762
1h23_913,-16188881.630614974
1h23_921,-16963600.755710505
1h23_964,-15761784.761770533
1h23_98,-15744819.992051808
1h23_99,-13988582.73626808
