#code,score
1pxn_167,-8554987.135909792
1pxn_197,-8139240.125424711
1pxn_211,-8853789.848660752
1pxn_225,-8219781.275233565
1pxn_228,-9409110.441556558
1pxn_236,-8706673.110044234
1pxn_240,-8531345.952749968
1pxn_246,-8399058.60738348
1pxn_256,-8588942.66172163
1pxn_257,-8682304.438664371
1pxn_266,-8495189.824099068
1pxn_269,-8366001.482076337
1pxn_270,-8537586.919738712
1pxn_272,-8883908.698547719
1pxn_285,-8574279.877104592
1pxn_288,-8234685.333445729
1pxn_308,-37706775.280326605
1pxn_402,-9140936.124600671
1pxn_409,-8682722.326815337
1pxn_414,-9588023.394378582
1pxn_416,-8768043.255156342
1pxn_422,-10092594.531486552
1pxn_428,-10471892.197771277
1pxn_437,-10787655.48940169
1pxn_441,-9666223.218951704
1pxn_445,-9368987.36988289
1pxn_458,-9764920.764976112
1pxn_467,-10736577.895343842
1pxn_468,-9459727.95415387
1pxn_471,-9535106.418706084
1pxn_472,-11117138.196225384
1pxn_477,-10360185.07613095
1pxn_483,-9501634.14258006
1pxn_488,-8365410.109502469
1pxn_489,-10498699.609883815
1pxn_490,-9138796.02960944
1pxn_500,-11846839.243282186
1pxn_504,-7178465.517723348
1pxn_507,-9149543.601807386
1pxn_509,-6879191.476324087
1pxn_513,-8670295.37246537
1pxn_514,-9289770.755007304
1pxn_518,-9228561.333782285
1pxn_523,-9314431.691906808
1pxn_532,-10486699.513473645
1pxn_534,-8660863.877846852
1pxn_536,-10449086.395297024
1pxn_539,-10477778.149777155
1pxn_545,-10245303.65970287
1pxn_546,-8469604.126527216
1pxn_550,-9407717.747430326
1pxn_557,-10030270.001421276
1pxn_558,-10568984.865104437
1pxn_560,-10615857.015246252
1pxn_565,-8627574.38572655
1pxn_566,-10055425.910117442
1pxn_572,-11109880.033065554
1pxn_578,-8266296.824658834
1pxn_589,-11288522.142040793
1pxn_593,-8601308.816321032
1pxn_594,-9591650.124733746
1pxn_599,-7875320.149825434
1pxn_600,-8908198.354533793
1pxn_608,-11896174.364335002
1pxn_609,-8052536.426130518
1pxn_626,-10913361.55170305
1pxn_632,-10027702.340781821
1pxn_638,-12367140.28406847
1pxn_645,-8434771.975891624
1pxn_646,-8293331.396634629
1pxn_647,-10733378.236656077
1pxn_649,-7642049.604421591
1pxn_652,-13489360.257471938
1pxn_653,-8510922.988275653
1pxn_662,-9650615.132559659
1pxn_665,-11609334.212182073
1pxn_666,-9582738.04412296
1pxn_668,-8370007.983158289
1pxn_671,-10563276.737922823
1pxn_672,-7877465.321435979
1pxn_678,-15767441.493961703
1pxn_682,-7072191.228935404
1pxn_687,-10468812.843482697
1pxn_690,-9308385.068041747
1pxn_696,-10837601.781779177
1pxn_813,-8322435.454056988
1pxn_82,-8964396.376253515
1pxn_830,-9560358.575705118
1pxn_86,-8355084.798484121
1pxn_945,-8379315.60039761
1pxn_96,-8060473.840330511
