#code,score
2xnb_159,-10486395.634043943
2xnb_253,-9666131.126831293
2xnb_26,-8607532.85818522
2xnb_280,-10119229.372356514
2xnb_291,-9769958.873380536
2xnb_353,-10173469.237744322
2xnb_354,-10891682.759746425
2xnb_400,-9028514.704865381
2xnb_403,-14037650.612405617
2xnb_409,-12430096.625382539
2xnb_428,-12955121.23422764
2xnb_430,-14811922.69212184
2xnb_434,-14589441.962945059
2xnb_437,-10647028.228665106
2xnb_441,-17520134.721302103
2xnb_446,-8685025.394150905
2xnb_454,-10407358.95210163
2xnb_455,-16927509.846813817
2xnb_459,-10513182.361153647
2xnb_46,-9570959.613263283
2xnb_462,-9757780.562677313
2xnb_463,-9384567.220585417
2xnb_476,-15264876.299987681
2xnb_479,-9143055.484112477
2xnb_481,-12601942.459614886
2xnb_483,-19423445.207105543
2xnb_484,-11257527.700574096
2xnb_487,-14916915.243800838
2xnb_488,-9863307.719992863
2xnb_499,-13510614.67928233
2xnb_517,-8917255.514697075
2xnb_538,-8552738.3262804
2xnb_539,-8498023.955736768
2xnb_545,-9874014.714230172
2xnb_558,-8584123.604999764
2xnb_574,-6189428.604754277
2xnb_584,-9966505.269280389
2xnb_586,-8335990.3359353
2xnb_588,-7070348.249179429
2xnb_590,-8117713.303620994
2xnb_592,-10738310.557851614
2xnb_593,-12000390.311436672
2xnb_596,-8198189.297845505
2xnb_610,-16283437.260760276
2xnb_627,-9660984.307235489
2xnb_633,-11466706.564208323
2xnb_653,-9805686.431028904
2xnb_663,-12142399.512588292
2xnb_674,-8895034.724677632
2xnb_675,-12912883.753348714
2xnb_69,-9272231.587096786
2xnb_694,-9654405.860517448
2xnb_707,-10321456.243533649
2xnb_709,-11174946.25075878
2xnb_717,-10099185.630557906
2xnb_718,-9614542.186486538
2xnb_723,-8794688.07976493
2xnb_724,-13280313.622831061
2xnb_726,-8909069.261243585
2xnb_728,-7997532.352765098
2xnb_729,-8835618.029301831
2xnb_73,-11441776.447155878
2xnb_730,-9153259.245713344
2xnb_733,-8063116.539311877
2xnb_734,-7374803.851543383
2xnb_735,-9492008.154850451
2xnb_737,-7394690.414139
2xnb_738,-7794072.50351726
2xnb_751,-9158501.957289658
2xnb_770,-9197475.278352568
2xnb_782,-8822619.369883025
2xnb_787,-8699706.803844685
2xnb_795,-7312854.504871371
2xnb_812,-10292804.124787055
2xnb_818,-7366607.328552091
2xnb_827,-8892300.867187401
2xnb_833,-9321784.497015955
2xnb_841,-9781060.050660487
2xnb_846,-9056304.977045385
2xnb_855,-9222303.883422658
2xnb_858,-8897308.760823319
2xnb_896,-8921285.778354047
2xnb_911,-10641945.384830035
2xnb_913,-9003319.937102986
2xnb_918,-9829915.235553123
2xnb_923,-8967580.546036348
2xnb_924,-8790088.105628924
2xnb_934,-8641012.783060044
2xnb_937,-10008584.69136676
2xnb_939,-8617325.257205628
