#code,score
5c28_113,-2861902.423657775
5c28_133,-3030912.3267786545
5c28_146,-4563687.327187757
5c28_2,-3879099.904412803
5c28_3,-4207011.650656555
5c28_30,-4420743.258238101
5c28_324,-4124125.1941413516
5c28_345,-4640411.8110324675
5c28_35,-5040638.275773632
5c28_382,-4406621.41605075
5c28_4,-4602101.880164255
5c28_424,-4743495.126318288
5c28_451,-4675507.31298594
5c28_456,-5606238.58962062
5c28_460,-3800342.342745361
5c28_469,-4494408.9051638385
5c28_47,-4330619.774550395
5c28_503,-4198674.119040537
5c28_508,-2948932.27628733
5c28_516,-2673277.351234417
5c28_525,-4665004.876898354
5c28_528,-4184315.8454671395
5c28_531,-4911092.137841733
5c28_542,-4285556.369788729
5c28_543,-3503357.8911566907
5c28_549,-2833332.149950788
5c28_550,-4135458.143294208
5c28_563,-4491029.032453619
5c28_569,-4674611.050485285
5c28_572,-3631958.4727707
5c28_588,-4529853.331968941
5c28_589,-4410643.520220443
5c28_593,-3615294.849202325
5c28_600,-5010948.556370961
5c28_604,-5779924.218816628
5c28_614,-5269817.85731979
5c28_624,-5587994.871891436
5c28_627,-4518324.070336091
5c28_643,-5082836.319407157
5c28_664,-4458783.767005092
5c28_675,-3969574.928473337
5c28_681,-4049426.667396373
5c28_693,-4641844.222985353
5c28_702,-4991121.7260597935
5c28_706,-4764537.680229663
5c28_709,-4899223.181093842
5c28_71,-4406364.3699477725
5c28_715,-4720941.827810034
5c28_723,-3670264.73112236
5c28_725,-3599472.899733861
5c28_727,-3969121.3315694747
5c28_729,-3618460.5195877203
5c28_735,-4283018.018806401
5c28_741,-4118895.424030384
5c28_743,-3550995.945492689
5c28_746,-3591161.1416583657
5c28_747,-4290126.080584873
5c28_755,-3222593.739326059
5c28_758,-3555073.1123230816
5c28_761,-3329651.7015423384
5c28_762,-1902553.2890433741
5c28_766,-3165740.0455792635
5c28_767,-3209447.1745020454
5c28_770,-2869237.58505144
5c28_771,-2913315.7525971266
5c28_772,-1378716.2479852757
5c28_773,-1314085.3456997096
5c28_775,-3327196.056165922
5c28_781,-2429066.0753613277
5c28_782,-1443853.4209290901
5c28_783,-2305625.5880084885
5c28_784,-1695742.2256020438
5c28_785,-1923183.274463959
5c28_787,-1145023.1726436056
5c28_788,-1971892.006098501
5c28_789,-2203214.996067269
5c28_790,-2166850.6416206555
5c28_791,-1065840.8662858421
5c28_792,-1169821.2432091725
5c28_794,-1232212.312103864
5c28_807,-4977380.50799537
5c28_829,-4606888.071339573
5c28_845,-4401817.524522505
5c28_850,-4796058.08312296
5c28_858,-3587065.0917847976
5c28_866,-3642650.290058138
5c28_876,-3507704.4436686817
5c28_877,-3198216.7412773594
5c28_879,-3881539.1309102303
5c28_881,-3539056.3927737633
5c28_882,-3600913.2382600848
5c28_883,-2835609.7612012313
5c28_885,-2811108.2167334873
5c28_928,-4996588.420933758
5c28_934,-5140198.45468978
5c28_97,-4248199.169558947
