#code,score
3n76_219,-1607.374167018969
3n76_261,-1557.689780527045
3n76_279,-1564.767836508788
3n76_403,-1483.010400865207
3n76_406,-1438.8119530469933
3n76_407,-1561.8890967868913
3n76_419,-1534.3827391613202
3n76_429,-1507.893736775572
3n76_432,-1583.4038318360297
3n76_440,-1526.7923304861456
3n76_441,-1661.2898554208116
3n76_455,-1459.603765449833
3n76_459,-1598.2255461374123
3n76_463,-1583.2053863812887
3n76_466,-1333.7799499072125
3n76_470,-1606.535169898914
3n76_476,-1493.011639153106
3n76_480,-1512.5939793729794
3n76_483,-1602.4755609326583
3n76_484,-1457.0207544175958
3n76_486,-1555.2773888052623
3n76_488,-1516.1690935932727
3n76_491,-1471.2197824685186
3n76_494,-1563.2381629700792
3n76_526,-1484.8111416494155
3n76_527,-1632.039538828536
3n76_539,-1477.570779244303
3n76_552,-1648.3054105252188
3n76_558,-1536.9146870420432
3n76_574,-1647.721420978303
3n76_577,-1502.6242711872771
3n76_578,-1405.2214200865326
3n76_580,-1482.2840380956316
3n76_585,-1488.0997254128417
3n76_586,-1457.887040357028
3n76_587,-1587.7427807441848
3n76_594,-1639.194387569496
3n76_606,-1497.3272922829376
3n76_620,-1552.5218090666742
3n76_630,-1584.357666286744
3n76_632,-1568.4676916631659
3n76_633,-1410.6901910511813
3n76_641,-1622.5323068377986
3n76_642,-1568.2809940956643
3n76_662,-1696.7691842511651
3n76_665,-1441.559537090358
3n76_676,-1509.9157394980414
3n76_689,-1291.7863892757996
3n76_692,-1446.6429607524228
3n76_693,-1523.692450887625
3n76_695,-1390.6947272276232
3n76_700,-1685.1613881757455
3n76_728,-1556.7572824279232
3n76_737,-1658.2331711555423
3n76_749,-1605.9178780554926
3n76_758,-1545.033997206887
3n76_760,-1600.2661792913998
3n76_782,-1491.721840654033
3n76_878,-1644.2765259976425
3n76_884,-1557.518115829661
3n76_885,-1578.871907765726
