#code,score
4k77_149,-1149.3880163007027
4k77_167,-1073.1653606765972
4k77_173,-1108.8659756946238
4k77_190,-1134.1018589544778
4k77_207,-1075.2859903619626
4k77_229,-1067.702342524038
4k77_237,-1090.4681651843819
4k77_257,-1093.2008929669857
4k77_290,-1124.1031372015223
4k77_325,-1021.7991746996923
4k77_328,-1062.1852335192534
4k77_331,-1112.1276655418567
4k77_403,-1138.7451062824146
4k77_409,-1078.3060556090752
4k77_412,-1076.1342976915582
4k77_416,-996.4149271821415
4k77_420,-1179.9336642236779
4k77_428,-1033.7988144850747
4k77_437,-1078.6206139237995
4k77_440,-972.4325994384507
4k77_443,-1100.6936264076796
4k77_444,-1060.369451095471
4k77_462,-916.2157936875525
4k77_478,-1038.738776468236
4k77_479,-980.1121999695519
4k77_482,-1000.0863922144742
4k77_491,-1005.2548197799891
4k77_516,-875.3353779534863
4k77_520,-1024.3736180133894
4k77_521,-877.6023142489775
4k77_529,-933.8948506393564
4k77_546,-965.8270454325551
4k77_548,-931.7478585308083
4k77_557,-1014.8240193309425
4k77_560,-980.4743346586766
4k77_562,-912.6374767545143
4k77_571,-977.0513282828392
4k77_572,-806.6789494439328
4k77_573,-935.9087950867641
4k77_576,-912.2697364151448
4k77_577,-833.9187247289252
4k77_585,-942.7178640197682
4k77_586,-1025.3027659374459
4k77_592,-964.9549623064197
4k77_596,-1229.7961950313445
4k77_597,-1061.8855167534796
4k77_598,-1101.809165008098
4k77_601,-1323.7970106815203
4k77_606,-1242.0887217422523
4k77_608,-1223.423068732474
4k77_611,-1355.336155851713
4k77_625,-1141.4842763081508
4k77_633,-1303.6663355171077
4k77_634,-880.8062457963431
4k77_635,-1058.4886568343522
4k77_642,-1174.8562717903885
4k77_645,-1100.6329314147094
4k77_661,-1001.5807007988977
4k77_666,-1173.607676775699
4k77_681,-1092.6388850485032
4k77_684,-1011.171426620065
4k77_688,-1100.8716258368406
4k77_690,-985.7577839425231
4k77_693,-1045.7092209649547
4k77_696,-870.5995099626856
4k77_699,-1036.3672387204592
4k77_743,-1205.4592673572326
4k77_748,-945.1816680549192
4k77_750,-915.0960112357752
4k77_757,-986.2469778506401
4k77_775,-1101.329024774843
4k77_782,-866.4490173311206
4k77_784,-894.3176639091621
4k77_789,-920.8078180891841
4k77_794,-959.614349859023
4k77_869,-980.5308807192527
4k77_900,-1269.5406396608257
4k77_932,-1091.4328861621493
4k77_951,-1062.2350981108827
4k77_959,-934.8351142272834
4k77_982,-1022.8500398220114
4k77_990,-1052.8571629753772
