#code,score
1o3f_112,-2344121.0217297804
1o3f_125,-1993292.4919763338
1o3f_126,-2085651.483674663
1o3f_144,-2571850.601581124
1o3f_145,-2094755.905582417
1o3f_148,-1876154.803869654
1o3f_152,-2144161.716767773
1o3f_162,-2077978.7894120507
1o3f_163,-2241508.2698025494
1o3f_168,-2043181.878896861
1o3f_173,-1533489.7754941424
1o3f_175,-2241884.96420552
1o3f_185,-2205231.080759435
1o3f_191,-1272921.420149825
1o3f_242,-1762155.171499421
1o3f_246,-2242028.0634045615
1o3f_247,-2264195.6856691446
1o3f_257,-2382007.8749342416
1o3f_265,-2322312.6570265614
1o3f_372,-2770329.907538713
1o3f_407,735770.3302070915
1o3f_417,-758793.1036795313
1o3f_423,-2449436.443220301
1o3f_445,-1093647.6842145654
1o3f_446,-136721.86217063197
1o3f_449,731532.9885055432
1o3f_458,-2626417.0028489116
1o3f_460,-529452.6837543857
1o3f_463,-5286.520481412175
1o3f_464,-2060406.4638423005
1o3f_472,-1234985.806717459
1o3f_482,-1045611.5288443404
1o3f_485,-2285194.572741206
1o3f_489,218848.18251993987
1o3f_490,2572065.579727928
1o3f_494,-1067170.767037622
1o3f_495,-2471745.9899333953
1o3f_498,-1297332.4908971386
1o3f_501,-1938154.9923058662
1o3f_503,-2095787.5094325922
1o3f_504,-2455724.8241530214
1o3f_506,-2163481.9629446412
1o3f_507,-2151508.403086709
1o3f_526,-1325608.211595963
1o3f_530,-2000712.6597201496
1o3f_538,-1911242.5427843246
1o3f_547,-818778.936251981
1o3f_558,-1988879.6786579695
1o3f_563,-1827074.9801035204
1o3f_566,1309633.7542301116
1o3f_572,-1404923.4422078626
1o3f_582,-618304.7147018341
1o3f_588,4079048.1659334563
1o3f_591,-1078335.7919239544
1o3f_595,-1915334.6480159608
1o3f_598,-2283234.9864397887
1o3f_624,-2248443.8311552596
1o3f_64,-2170371.475809784
1o3f_668,-1253340.1747932201
1o3f_669,-491446.44178187964
1o3f_670,-1708072.0731080102
1o3f_672,-353750.7474150086
1o3f_690,-789975.0959522881
1o3f_693,-1277196.9900914156
1o3f_696,1420742.9514088347
1o3f_700,1788440.3211810854
1o3f_752,-2695977.8592173206
1o3f_798,-2370421.5242775395
1o3f_910,-2520955.998009945
1o3f_931,-2672303.764719663
1o3f_94,-2152432.0074476846
