#code,score
1p1n_116,-2343371.736901901
1p1n_216,-2367046.6117245723
1p1n_333,-2431409.023650607
1p1n_425,-2275696.2045709225
1p1n_433,1131042.7937707405
1p1n_462,-64875.922981526506
1p1n_465,-1792797.2751532942
1p1n_482,-1589131.4088478133
1p1n_489,-2005680.4487755415
1p1n_493,-1952349.8563236971
1p1n_500,-342351.3586711932
1p1n_530,-89449.9266277109
1p1n_548,-639072.7718810046
1p1n_550,-120532.24306860741
1p1n_562,-1126298.6874493302
1p1n_569,-1823939.524995728
1p1n_574,-517613.26393583685
1p1n_586,-785184.1877886206
1p1n_606,-907745.2661542401
1p1n_646,820337.0157457497
1p1n_650,-1746497.9444741432
1p1n_660,-400409.18602369825
1p1n_668,-1022834.6930289377
1p1n_675,-1726630.1173449322
1p1n_685,-782021.3276682774
1p1n_687,-1302465.9543403853
1p1n_699,215388.25697818157
1p1n_708,-2199710.5979349525
1p1n_712,-2475685.0951654417
1p1n_73,-2500796.6573097017
1p1n_733,-1578448.926850322
1p1n_757,-2223525.993021602
1p1n_765,-2219442.5554159884
1p1n_78,-2504114.2362492625
1p1n_780,-1627988.0165811605
1p1n_785,-2153282.539096635
1p1n_825,-2338509.041616271
1p1n_883,-1711833.6464231268
1p1n_892,-2203877.1783367675
1p1n_9,-2452364.3122763927
1p1n_917,-2161671.7535973033
1p1n_928,-2229507.352961916
1p1n_971,-2207804.467530428
