#code,score
4eor_121,-3852993.4781537787
4eor_145,-3533948.856669854
4eor_155,-2695946.3975500083
4eor_257,-3633403.978213987
4eor_267,-3410801.3309491468
4eor_309,-2900320.0739099514
4eor_31,-3765183.5385057614
4eor_346,-3357188.0045825476
4eor_361,-3711204.407385315
4eor_403,1490293.590465871
4eor_408,-1605044.4951149875
4eor_414,-1535740.9556833361
4eor_424,1022066.4074739695
4eor_425,58853.3035479565
4eor_427,-1774973.7714390384
4eor_430,-1836579.6356948237
4eor_431,-2373251.0146017945
4eor_446,1008738.7121219607
4eor_448,2086769.5571666865
4eor_450,448091.0950714916
4eor_455,-1417549.368797945
4eor_465,792506.019152536
4eor_474,-2559471.2489106623
4eor_479,-1050403.1124981835
4eor_480,-1790028.4855274444
4eor_483,5423770.476901513
4eor_485,-1071634.0669801852
4eor_494,5597667.226405763
4eor_501,-1912159.103721201
4eor_506,-467709.9605556918
4eor_511,-1287753.948688257
4eor_513,-2245002.3547267495
4eor_519,64837.590725808965
4eor_523,-1779516.7737823953
4eor_524,-1963653.6500616546
4eor_530,1036666.6356715449
4eor_536,-1323871.9343962842
4eor_539,-875826.9165546002
4eor_541,332127.7931454979
4eor_544,-504489.0326544654
4eor_548,-1486763.5496622715
4eor_552,-2681972.286001525
4eor_557,-1839086.894173612
4eor_558,-2205102.1215592823
4eor_559,-444601.4203274173
4eor_562,-2250471.8551571416
4eor_565,-1624087.5948101927
4eor_568,6172301.669127346
4eor_577,-1462197.1338356864
4eor_584,-695786.3768065816
4eor_585,-764650.7316688657
4eor_588,-1673521.8027209972
4eor_592,-1443304.2375807134
4eor_595,-2479440.5828961073
4eor_604,144285.81718165416
4eor_612,-2121669.7353638927
4eor_620,-1659006.4456222213
4eor_643,-69335.17656747418
4eor_649,-2481828.4685787596
4eor_650,-1659563.8399828903
4eor_652,-823880.6583257208
4eor_659,-210693.13937798422
4eor_666,-2363517.2246406786
4eor_672,-2845760.4874421433
4eor_674,-56615.41926209546
4eor_677,-1418635.2393618415
4eor_682,-500168.2415670118
4eor_687,6186.911355583161
4eor_69,-3656435.08509667
4eor_690,-1181490.1832508957
4eor_697,659355.9501107882
4eor_701,-3825219.8527643136
4eor_712,-3255069.6604714943
4eor_718,-3583104.758784028
4eor_72,-3763476.537154915
4eor_736,-3518535.831730584
4eor_744,-3175501.0871485276
4eor_745,-3612703.3229830107
4eor_746,-3033150.6927072373
4eor_749,-3112965.7246340127
4eor_757,-2816001.7708863406
4eor_760,-2281239.8741449793
4eor_763,-2590820.6290038945
4eor_764,-2513318.6502179787
4eor_769,-2692172.174813366
4eor_773,26365750.66425697
4eor_790,-3559471.2184191635
4eor_850,-3805551.6006730474
4eor_860,-3777080.806646507
4eor_911,-3506606.8404160095
