#code,score
4jxs_129,-2104171.7593219094
4jxs_147,-2249785.264603198
4jxs_153,-2205094.067158216
4jxs_196,-2224352.651742719
4jxs_2,-2286689.5615669247
4jxs_203,-1694366.4920577884
4jxs_205,-1753960.6207109012
4jxs_218,-1841113.2394215495
4jxs_223,-2432163.782766524
4jxs_227,-2188869.8786413246
4jxs_232,-1239757.3768334782
4jxs_236,-1613668.5418548791
4jxs_238,-2282879.8019697643
4jxs_243,-1538412.9419478716
4jxs_244,-1648989.0056120856
4jxs_246,-1902136.0086823865
4jxs_257,-1422867.7234825848
4jxs_258,-1776126.8642971893
4jxs_260,-2092053.1409360582
4jxs_262,-1353084.8419558967
4jxs_264,-1369895.7693775317
4jxs_275,-1263542.871366662
4jxs_278,-2437968.222748838
4jxs_295,-1670739.5218103118
4jxs_296,-2349044.9041346977
4jxs_306,-2087058.5507690308
4jxs_31,-2097125.902720038
4jxs_311,-2001467.6912057195
4jxs_322,-2375801.6197679588
4jxs_334,-2207045.7780676824
4jxs_348,-2389732.960551328
4jxs_352,-2227404.3032677644
4jxs_356,-1757469.052683723
4jxs_401,-1870023.4407656246
4jxs_407,-1260845.7912757439
4jxs_410,-708556.4966964048
4jxs_411,922454.9559514129
4jxs_414,-1701769.1163824797
4jxs_427,-208085.6465059626
4jxs_434,-738051.703792494
4jxs_444,-1284011.688283258
4jxs_452,3330624.43838398
4jxs_455,132172.14635781667
4jxs_464,-508273.8760147501
4jxs_466,3188406.7433627187
4jxs_47,-2259822.6371464655
4jxs_485,-416327.8701056939
4jxs_490,-1702350.7057997293
4jxs_503,-1254983.054346583
4jxs_509,-865477.957313368
4jxs_513,-1627406.9591722107
4jxs_517,-1001494.7835205954
4jxs_520,-1258388.607406206
4jxs_523,-1294448.5834108067
4jxs_543,1681955.086543091
4jxs_546,-908512.1062831955
4jxs_55,-2372359.8764512744
4jxs_556,-993505.7491993881
4jxs_56,-2206002.9738998166
4jxs_563,-1501656.130868196
4jxs_573,455837.1031581183
4jxs_578,-1491018.1745823002
4jxs_579,-105828.10956249389
4jxs_580,-1095483.0807846722
4jxs_581,415843.52515513176
4jxs_585,39044.594252212235
4jxs_588,22292.45232117286
4jxs_595,-672754.6558142854
4jxs_598,-215392.0095019799
4jxs_599,437610.8752813717
4jxs_628,221606.5050854825
4jxs_648,-505987.7214863964
4jxs_654,-1810802.4532682968
4jxs_664,-678865.9955371524
4jxs_669,-1717310.3845944325
4jxs_672,-357922.20929091243
4jxs_679,-1504877.990944851
4jxs_684,-1138125.1171637902
4jxs_688,-740296.5141241876
4jxs_696,-139321.75925319133
4jxs_698,-789065.9259445843
4jxs_701,-2491080.262990516
4jxs_702,-1924300.7225229256
4jxs_707,-2116235.441475577
4jxs_712,-2698873.051033356
4jxs_713,-2124717.821938764
4jxs_714,-2660924.415153958
4jxs_719,-2079909.068933421
4jxs_72,-2313574.642570365
4jxs_725,-2286084.0608800747
4jxs_750,-2156776.386195893
4jxs_76,-2015411.6791919183
4jxs_764,-1551856.2313216485
4jxs_766,-1543405.9039317686
4jxs_768,-2402892.338999172
4jxs_770,-1925458.143167771
4jxs_78,-1810074.4617583656
4jxs_85,-2276218.428933724
4jxs_9,-1931530.6258480952
4jxs_979,-2222602.0238404796
