#code,score
3gc5_402,-20898.40735800491
3gc5_403,-21907.727713106822
3gc5_406,-380.70742885038715
3gc5_408,-25277.002122293074
3gc5_426,-14693.96172788591
3gc5_427,-6139.394530632257
3gc5_428,-16305.621392018933
3gc5_436,-6560.222887290892
3gc5_446,14068.813413584483
3gc5_451,-14644.889391245013
3gc5_457,-8493.902957889457
3gc5_460,-16113.39597325683
3gc5_461,-6207.290798424772
3gc5_463,-1925.8407301572806
3gc5_464,-17379.068255719194
3gc5_467,55127.78650352616
3gc5_471,25693.4209811925
3gc5_475,-22558.981303677254
3gc5_492,-4616.252571394706
3gc5_495,-20102.45766562746
3gc5_500,-24504.67615093249
3gc5_507,-14938.369708585642
3gc5_516,-16174.46852165624
3gc5_518,-10159.440321799533
3gc5_524,-21472.358972503083
3gc5_532,-21036.531726358604
3gc5_536,-10316.05281196444
3gc5_551,-6709.652419504941
3gc5_556,12444.609752518762
3gc5_559,-23799.85938022486
3gc5_563,-14169.767650747259
3gc5_565,3506.1635679351075
3gc5_566,-14081.158251188237
3gc5_567,-13970.486433510117
3gc5_574,-10048.47803492256
3gc5_577,25531.121117955758
3gc5_580,44562.61838894205
3gc5_582,32586.1502810559
3gc5_585,-7116.6364398578435
3gc5_589,-1644.1260928468382
3gc5_603,-20960.8967768313
3gc5_604,-18742.74977176429
3gc5_605,-6204.0307618763245
3gc5_606,-17037.861130516558
3gc5_607,-20744.47237043973
3gc5_617,-3653.90152212664
3gc5_627,87677.48544592605
3gc5_631,-17857.42381114743
3gc5_632,13551.617063395674
3gc5_636,-20406.365725675692
3gc5_638,-16467.55181177147
3gc5_646,-12228.951195600092
3gc5_647,-18379.565646987932
3gc5_657,-6421.668710840494
3gc5_662,-21022.376447762457
3gc5_663,-21210.1713861523
3gc5_679,-16357.907432822598
3gc5_682,-21168.49228175658
3gc5_691,-10016.512180145459
3gc5_696,-6872.847816931562
3gc5_715,-22853.088888283335
3gc5_733,-20004.19598337147
3gc5_739,-18725.622584656783
3gc5_749,-17683.711223972805
3gc5_752,-17876.93077495505
3gc5_755,-19477.721683614964
3gc5_757,-19911.09829403348
3gc5_758,-18583.488422445258
3gc5_759,-17653.05729697678
3gc5_764,-17581.219775693902
3gc5_770,-15271.80473647125
3gc5_772,-14918.338564921694
3gc5_773,-11750.604967915066
3gc5_775,-15720.44332499367
3gc5_776,-15871.819413109588
3gc5_777,-15117.002620808593
3gc5_778,-16295.887674288799
3gc5_779,-15432.29148654388
3gc5_780,-15788.309968376423
3gc5_783,-14080.28359612184
3gc5_784,-11344.887803545991
3gc5_822,-22305.043405530723
3gc5_878,-17324.140446189725
3gc5_879,-17231.58619927429
3gc5_973,-19036.203253639196
