#code,score
3uew_161,-29407.035892798875
3uew_211,-32602.252191510255
3uew_224,-35848.15351133359
3uew_229,-36542.4579232371
3uew_243,-37429.67262923917
3uew_249,-36000.71786148028
3uew_255,-36210.398526974255
3uew_281,-34801.90750901579
3uew_282,-34700.1886008655
3uew_290,-35620.92644347133
3uew_352,-36425.73452592208
3uew_404,-17712.51041335053
3uew_409,-27924.783192007268
3uew_415,-12512.368184390132
3uew_423,-10352.083407858581
3uew_431,-18942.50351301003
3uew_433,-15005.796234848829
3uew_436,-14415.906796469515
3uew_439,-29704.65530378632
3uew_444,-20228.126628203256
3uew_446,-22738.90388044565
3uew_450,782.5882299786937
3uew_451,-12373.293489412823
3uew_454,-23551.823664864576
3uew_456,34104.710162369236
3uew_458,2159.429226956548
3uew_467,-7300.383671346819
3uew_471,-8963.306026437287
3uew_474,10707.444654976018
3uew_475,-17461.52967652027
3uew_477,-6630.3593955233
3uew_481,-4073.002630772922
3uew_482,30904.2570573914
3uew_484,-9641.112694344738
3uew_487,-1910.2674237514257
3uew_488,-2107.40410246547
3uew_489,2095.3003573642363
3uew_493,16638.017615554283
3uew_495,10886.015536008557
3uew_508,-27237.728250308584
3uew_515,1324.6744048942733
3uew_520,-15502.737406791564
3uew_533,-21529.007533888245
3uew_537,-14679.452100735674
3uew_545,-17360.27217395006
3uew_555,8667.136904824347
3uew_558,-9110.405874324893
3uew_564,-2143.530117534098
3uew_566,-19660.394909040206
3uew_575,-13179.57120254093
3uew_582,-7298.967970615944
3uew_583,-13405.666707456265
3uew_587,-22602.779862189313
3uew_588,-17721.934035631588
3uew_595,-25573.519261623725
3uew_603,22731.44509959381
3uew_612,7698.291072445718
3uew_613,-18319.857236176358
3uew_624,7029.15267959901
3uew_644,-16117.898935682104
3uew_649,6287.280970751077
3uew_65,-35238.05350993986
3uew_663,6996.293590033925
3uew_664,-9203.69590478242
3uew_666,20019.184463081394
3uew_670,-4995.588013455849
3uew_672,-17053.20059434456
3uew_675,3069.912788347615
3uew_681,-16962.50474132468
3uew_686,-12305.87484590511
3uew_697,-11116.591270626204
3uew_7,-36371.92274626057
3uew_700,-7487.911798670133
3uew_735,-34271.504033987476
3uew_740,-35240.77223836756
3uew_751,-32996.3949737534
3uew_757,-35249.00867882874
3uew_759,-34055.073278972
3uew_780,-35403.83975844044
3uew_787,-33915.132009007444
3uew_790,-33071.63485266303
3uew_803,-32370.905691204833
3uew_844,-30743.708323883442
3uew_880,-30136.75305295222
3uew_919,-30077.36499833524
