#code,score
2wtv_105,-21.794043604193668
2wtv_108,-21.794043604193668
2wtv_118,-21.794043604193668
2wtv_133,-21.794043604193668
2wtv_143,-21.794043604193668
2wtv_144,-21.79404359576703
2wtv_152,-21.794043471669102
2wtv_157,-21.794043603329186
2wtv_159,-21.79404360419364
2wtv_174,-21.794043604193668
2wtv_196,-21.794043604193668
2wtv_20,-21.794043604193668
2wtv_237,-21.794043604193668
2wtv_24,-21.794043604193668
2wtv_240,-21.794043604193668
2wtv_250,-21.794043604193668
2wtv_255,-21.794043604193668
2wtv_260,-21.794043604193668
2wtv_289,-21.789368962633336
2wtv_296,-21.794043604193668
2wtv_317,-21.7940436041933
2wtv_32,-21.794043604193668
2wtv_320,-21.794043604193668
2wtv_328,-21.794043604193668
2wtv_333,-21.794043580898094
2wtv_357,-21.794043604193668
2wtv_376,-21.794043604193668
2wtv_38,-21.794043604193668
2wtv_39,-21.794043604193668
2wtv_401,-21.794043604185347
2wtv_411,-21.794043604193668
2wtv_415,-21.794043604193668
2wtv_421,-21.794043604193668
2wtv_427,-21.794043604193668
2wtv_432,-21.794043604193668
2wtv_436,-21.793904589425683
2wtv_437,-21.794043604193668
2wtv_455,-21.793289935873467
2wtv_459,-21.794043604193668
2wtv_460,-21.794043604193668
2wtv_470,-21.79404360419225
2wtv_477,-21.794043604193668
2wtv_481,-21.794043604193668
2wtv_483,-21.794043604193668
2wtv_486,-21.794043604193668
2wtv_487,-21.794043604193668
2wtv_489,-21.794043604193668
2wtv_498,-21.794043604193668
2wtv_499,-21.794043604061198
2wtv_502,-21.784226796666385
2wtv_506,-21.794043604189525
2wtv_509,-21.79359468268072
2wtv_533,-21.794042751672265
2wtv_534,-21.794043604193668
2wtv_541,-21.770775702644904
2wtv_544,-21.79404109843155
2wtv_547,-21.794043592029283
2wtv_548,-21.742707463303354
2wtv_55,-21.7940436041932
2wtv_551,-21.79404359903152
2wtv_557,-21.793887888871847
2wtv_558,-21.79404359633196
2wtv_561,-21.794043604193668
2wtv_570,-21.794009430144826
2wtv_575,-21.677910622695766
2wtv_576,-21.7940325268184
2wtv_579,-21.794043604193668
2wtv_581,-21.794032979912963
2wtv_584,-21.794043604193615
2wtv_585,-21.79368818547351
2wtv_590,-21.792066736378047
2wtv_591,-21.794038852195225
2wtv_595,-21.794012334024103
2wtv_596,-21.782045031246373
2wtv_602,-21.692600652586048
2wtv_604,-21.793939040328024
2wtv_608,-21.794041524078608
2wtv_611,-21.793870871660058
2wtv_612,-21.791289736404927
2wtv_615,-21.794000075264886
2wtv_624,-21.79093934481349
2wtv_631,-21.794043604193668
2wtv_637,-21.793872906114725
2wtv_644,-21.7816307174787
2wtv_670,-21.794043604193668
2wtv_674,-21.794043604193668
2wtv_675,-21.794043604193668
2wtv_676,-21.794043604193668
2wtv_689,-21.794043434141667
2wtv_691,-21.794043604193668
2wtv_697,-21.794043604193668
2wtv_737,-21.794043604189117
2wtv_78,-21.794043604193668
2wtv_799,-21.794043604180366
2wtv_801,-21.794043577951285
2wtv_804,-21.794043133069437
2wtv_83,-21.794043604193668
2wtv_84,-21.794043604193668
2wtv_90,-21.794043604193668
2wtv_98,-21.794043604193668
