#code,score
2fvd_10,247251.47
2fvd_102,229231.33
2fvd_105,248427.11
2fvd_107,239584.72
2fvd_116,252362.03
2fvd_118,246009.84
2fvd_121,252500.86
2fvd_122,252705.45
2fvd_126,243118.56
2fvd_136,252495.2
2fvd_169,253948.81
2fvd_175,247572.38
2fvd_188,240948.38
2fvd_200,257512.83
2fvd_204,244897.67
2fvd_210,232575.83
2fvd_211,245831.67
2fvd_219,259035.61
2fvd_220,257981.1
2fvd_223,223260.92
2fvd_225,224198.2
2fvd_235,227989.42
2fvd_238,247734.64
2fvd_24,254178.34
2fvd_243,261813.42
2fvd_266,251855.22
2fvd_270,240697.88
2fvd_275,225525.33
2fvd_282,259285.06
2fvd_286,250929.14
2fvd_288,230978.23
2fvd_292,241996.58
2fvd_309,263513.47
2fvd_312,251570.19
2fvd_34,226331.48
2fvd_345,261344.02
2fvd_348,248499.52
2fvd_369,236722.48
2fvd_382,262936.3
2fvd_388,264847.72
2fvd_39,242115.61
2fvd_397,256469.0
2fvd_40,233553.64
2fvd_408,256265.22
2fvd_410,247008.97
2fvd_42,234047.48
2fvd_421,233063.05
2fvd_428,247620.78
2fvd_434,254846.34
2fvd_435,251080.95
2fvd_443,265143.16
2fvd_467,262182.38
2fvd_468,212992.66
2fvd_469,255487.7
2fvd_475,248693.6
2fvd_478,266857.1
2fvd_48,247326.03
2fvd_484,237062.48
2fvd_490,264702.28
2fvd_495,260471.77
2fvd_50,246516.1
2fvd_505,240991.23
2fvd_553,260085.98
2fvd_555,265435.78
2fvd_585,254633.89
2fvd_592,238861.17
2fvd_599,247901.34
2fvd_6,261780.88
2fvd_602,250573.03
2fvd_603,240289.47
2fvd_606,249347.36
2fvd_610,248526.23
2fvd_62,246384.69
2fvd_637,261989.9
2fvd_638,231938.7
2fvd_639,235746.0
2fvd_640,251788.2
2fvd_642,248578.52
2fvd_645,243869.86
2fvd_649,251155.67
2fvd_65,234072.42
2fvd_673,251214.42
2fvd_679,235353.47
2fvd_680,245339.95
2fvd_695,250827.38
2fvd_698,246579.42
2fvd_71,254731.9
2fvd_72,238841.39
2fvd_747,248185.89
2fvd_751,245849.69
2fvd_76,230352.89
2fvd_778,233086.2
2fvd_780,254294.39
2fvd_783,253111.16
2fvd_809,247767.56
2fvd_86,255619.3
2fvd_872,246352.64
2fvd_880,264087.84
2fvd_881,260906.39
2fvd_889,247758.69
