#code,score
2vvn_205,247655.42
2vvn_391,226676.16
2vvn_401,223378.56
2vvn_403,181693.77
2vvn_405,185102.17
2vvn_406,207139.98
2vvn_407,183790.4
2vvn_409,172406.0
2vvn_419,184544.4
2vvn_425,193082.31
2vvn_426,200448.42
2vvn_427,206455.77
2vvn_445,206350.14
2vvn_449,189349.64
2vvn_469,184838.22
2vvn_470,209167.81
2vvn_720,203578.19
2vvn_721,216069.69
2vvn_737,195292.36
2vvn_744,255789.36
2vvn_750,213892.84
2vvn_751,204748.27
2vvn_757,178484.03
2vvn_759,206134.66
2vvn_763,193539.5
2vvn_765,227389.53
2vvn_776,201262.38
2vvn_780,226218.8
2vvn_782,204558.92
2vvn_785,195734.3
2vvn_786,203421.61
2vvn_787,205427.5
2vvn_791,203707.05
2vvn_792,182881.78
2vvn_793,191103.55
2vvn_797,201730.7
2vvn_798,179041.0
2vvn_799,187195.38
2vvn_800,199602.7
2vvn_802,250197.55
2vvn_829,271102.44
2vvn_845,236538.53
2vvn_846,214912.39
2vvn_854,245658.86
2vvn_880,188417.19
2vvn_887,194123.23
2vvn_900,200115.08
2vvn_952,272910.47
2vvn_956,204065.53
2vvn_967,217911.97
2vvn_968,222936.89
2vvn_973,247524.27
2vvn_977,205651.66
2vvn_985,204850.2
2vvn_987,205455.6
2vvn_992,204700.9
