#code,score
3nx7_139,265488.97
3nx7_148,272081.2
3nx7_15,201655.88
3nx7_234,245546.75
3nx7_239,228407.94
3nx7_245,224388.06
3nx7_262,242244.8
3nx7_280,233784.48
3nx7_283,231556.11
3nx7_287,237287.02
3nx7_299,235553.08
3nx7_320,239096.3
3nx7_359,246333.56
3nx7_36,215939.08
3nx7_383,229756.17
3nx7_388,266155.56
3nx7_39,173009.52
3nx7_404,223184.7
3nx7_405,242847.1
3nx7_416,230730.73
3nx7_42,265597.1
3nx7_424,238317.5
3nx7_426,241255.83
3nx7_427,222590.0
3nx7_440,257788.8
3nx7_451,225495.45
3nx7_459,235309.92
3nx7_46,231767.48
3nx7_479,223571.12
3nx7_480,226375.06
3nx7_489,233801.67
3nx7_495,212617.67
3nx7_496,243998.56
3nx7_511,225309.98
3nx7_52,248878.19
3nx7_524,234837.23
3nx7_535,245166.47
3nx7_544,219386.81
3nx7_555,221174.14
3nx7_567,245047.38
3nx7_582,268927.16
3nx7_583,239793.72
3nx7_591,242264.22
3nx7_605,301105.1
3nx7_607,213330.02
3nx7_614,233738.39
3nx7_619,233509.56
3nx7_622,267831.06
3nx7_623,221733.05
3nx7_625,239561.98
3nx7_630,233255.36
3nx7_651,232145.05
3nx7_652,274676.25
3nx7_654,249222.53
3nx7_660,235338.06
3nx7_667,230932.94
3nx7_668,248346.73
3nx7_670,252338.94
3nx7_676,209590.28
3nx7_688,227042.12
3nx7_74,237834.12
3nx7_756,254834.44
3nx7_762,243768.4
3nx7_778,244576.31
3nx7_787,266937.3
3nx7_792,240403.1
3nx7_795,238092.23
3nx7_796,247393.75
3nx7_854,224411.22
3nx7_885,220671.77
3nx7_889,235138.5
3nx7_969,213213.4
