#code,score
3b68_121,-33.965256
3b68_126,-36.31702
3b68_192,-30.109274
3b68_228,-35.41702
3b68_269,-32.341312
3b68_291,-34.811485
3b68_304,-32.788338
3b68_405,-28.763529
3b68_410,-36.57454
3b68_418,-30.577536
3b68_423,-35.409264
3b68_430,-25.04958
3b68_438,-33.664722
3b68_439,-30.089926
3b68_441,-29.901854
3b68_446,-32.08105
3b68_459,-27.20744
3b68_467,-32.359646
3b68_475,-32.725136
3b68_484,-29.38529
3b68_549,-27.824697
3b68_558,-30.153873
3b68_564,-26.168499
3b68_573,-26.982021
3b68_574,-31.083069
3b68_580,-34.702744
3b68_591,-37.606525
3b68_605,-32.27823
3b68_626,-27.217268
3b68_627,-32.64228
3b68_644,-26.253908
3b68_665,-31.437452
3b68_678,-33.982113
3b68_683,-34.656612
3b68_685,-29.183384
3b68_686,-30.895868
3b68_687,-28.16639
3b68_696,-29.474878
3b68_714,-34.982185
3b68_753,-35.376675
3b68_756,-40.072475
3b68_763,-36.684
3b68_772,-32.760887
3b68_774,-31.888878
3b68_776,-30.92996
3b68_778,-35.480442
3b68_779,-28.770353
3b68_780,-35.026985
3b68_781,-33.172565
3b68_782,-26.678207
3b68_783,-30.13861
3b68_784,-34.7727
3b68_865,-34.226124
3b68_884,-27.136242
3b68_904,-30.028358
3b68_922,-34.102715
3b68_947,-34.361675
3b68_962,-26.691868
3b68_965,-32.029984
3b68_99,-32.92624
