#code,score
3coz_103,-36.188725
3coz_108,-43.626766
3coz_112,-40.470528
3coz_117,-40.796974
3coz_128,-42.249454
3coz_136,-39.897495
3coz_141,-51.690273
3coz_167,-44.618793
3coz_17,-40.899563
3coz_173,-36.02592
3coz_176,-45.48877
3coz_20,-47.35088
3coz_203,-36.612576
3coz_206,-38.24936
3coz_212,-39.938316
3coz_214,-39.414646
3coz_220,-37.847836
3coz_221,-39.363686
3coz_222,-40.595573
3coz_238,-40.44334
3coz_24,-45.921837
3coz_247,-40.06983
3coz_251,-40.803593
3coz_256,-37.702522
3coz_263,-38.264072
3coz_282,-45.228897
3coz_285,-42.456547
3coz_311,-41.08483
3coz_327,-42.07355
3coz_332,-48.23747
3coz_347,-38.764862
3coz_35,-51.165756
3coz_359,-35.851715
3coz_376,-41.673893
3coz_388,-32.892918
3coz_393,-35.251976
3coz_401,-35.91312
3coz_405,-37.32215
3coz_407,-36.918465
3coz_413,-36.158752
3coz_420,-36.608387
3coz_421,-38.241653
3coz_43,-36.83196
3coz_436,-47.087936
3coz_440,-35.520786
3coz_45,-44.54975
3coz_459,-49.852303
3coz_464,-45.6755
3coz_465,-44.892097
3coz_468,-37.8044
3coz_481,-43.676594
3coz_489,-36.96131
3coz_493,-45.340736
3coz_515,-50.217632
3coz_518,-41.130516
3coz_523,-36.983074
3coz_536,-45.66417
3coz_539,-37.76223
3coz_540,-46.900444
3coz_543,-32.807453
3coz_547,-38.49774
3coz_548,-37.474476
3coz_55,-36.010666
3coz_552,-38.075783
3coz_557,-49.48268
3coz_558,-40.546684
3coz_561,-40.52949
3coz_565,-41.49061
3coz_567,-40.976765
3coz_576,-45.403572
3coz_577,-43.79087
3coz_580,-40.660507
3coz_59,-47.567833
3coz_593,-47.478752
3coz_594,-39.96448
3coz_604,-36.86906
3coz_605,-38.865623
3coz_619,-46.657482
3coz_620,-41.782825
3coz_626,-45.95262
3coz_628,-40.249817
3coz_637,-45.01908
3coz_642,-45.18756
3coz_654,-40.397675
3coz_657,-39.91436
3coz_665,-35.764988
3coz_668,-42.010727
3coz_67,-44.912415
3coz_673,-45.293324
3coz_680,-43.62124
3coz_688,-38.36093
3coz_691,-39.20454
3coz_694,-40.26171
3coz_696,-38.65893
3coz_7,-34.804897
3coz_726,-37.77617
3coz_83,-36.185402
3coz_87,-43.382202
3coz_894,-37.98435
