#code,score
3ge7_11,-36.835365
3ge7_140,-36.07297
3ge7_191,-39.18923
3ge7_24,-33.223747
3ge7_262,-33.806057
3ge7_324,-34.672394
3ge7_404,-25.165169
3ge7_411,-28.945654
3ge7_415,-25.754793
3ge7_424,-34.2318
3ge7_426,-27.81083
3ge7_431,-33.359535
3ge7_443,-33.651634
3ge7_448,-30.018944
3ge7_451,-27.677214
3ge7_456,-31.19011
3ge7_460,-28.519567
3ge7_465,-28.634146
3ge7_469,-35.235775
3ge7_470,-34.545708
3ge7_480,-30.266718
3ge7_485,-33.116108
3ge7_488,-32.61642
3ge7_490,-29.00945
3ge7_491,-29.682877
3ge7_498,-31.715746
3ge7_523,-33.57405
3ge7_533,-41.88432
3ge7_536,-32.44005
3ge7_547,-33.447327
3ge7_552,-37.302162
3ge7_556,-33.44404
3ge7_561,-31.460197
3ge7_562,-35.44201
3ge7_567,-29.35975
3ge7_571,-40.22827
3ge7_572,-31.036102
3ge7_573,-37.529045
3ge7_574,-36.989857
3ge7_579,-29.35448
3ge7_582,-31.074327
3ge7_583,-33.21558
3ge7_587,-28.77518
3ge7_589,-37.20276
3ge7_590,-30.930876
3ge7_594,-30.943953
3ge7_598,-35.838585
3ge7_599,-36.02752
3ge7_600,-44.438694
3ge7_637,-35.072002
3ge7_638,-32.169193
3ge7_641,-34.19082
3ge7_644,-34.27045
3ge7_651,-31.804852
3ge7_655,-36.580547
3ge7_658,-30.089628
3ge7_659,-28.224823
3ge7_666,-30.59891
3ge7_667,-30.296263
3ge7_674,-29.08339
3ge7_676,-34.387215
3ge7_683,-38.445293
3ge7_684,-37.90469
3ge7_685,-34.76809
3ge7_688,-25.454363
3ge7_717,-36.24817
3ge7_718,-37.979675
3ge7_791,-36.397408
3ge7_794,-33.376205
3ge7_795,-34.055904
3ge7_824,-36.500492
3ge7_895,-37.652683
3ge7_898,-35.67318
