#code,score
3dd0_156,6.9805355
3dd0_158,7.1252685
3dd0_161,7.6056585
3dd0_162,7.566657
3dd0_168,7.8986936
3dd0_182,6.3986516
3dd0_197,6.7240005
3dd0_234,7.262311
3dd0_238,6.3268533
3dd0_263,6.69958
3dd0_273,7.9482856
3dd0_277,6.4976053
3dd0_283,6.771854
3dd0_298,6.706
3dd0_314,6.6173615
3dd0_316,7.3605127
3dd0_360,6.968305
3dd0_378,7.2343364
3dd0_402,7.1288767
3dd0_403,6.416234
3dd0_406,6.514263
3dd0_411,6.475199
3dd0_42,7.636329
3dd0_43,7.474476
3dd0_432,6.857884
3dd0_441,7.0259113
3dd0_451,6.6510406
3dd0_455,8.107462
3dd0_47,6.6372294
3dd0_478,7.113876
3dd0_479,7.849555
3dd0_482,8.068187
3dd0_484,7.8172665
3dd0_495,6.365221
3dd0_50,7.785267
3dd0_505,7.0432124
3dd0_506,6.6998425
3dd0_508,6.9670234
3dd0_510,6.077381
3dd0_553,5.753449
3dd0_567,6.4263716
3dd0_570,6.403353
3dd0_572,7.3907
3dd0_582,8.260089
3dd0_585,6.878114
3dd0_595,7.1498337
3dd0_61,7.0248246
3dd0_642,6.75923
3dd0_645,6.323402
3dd0_657,6.3683624
3dd0_700,5.7903194
3dd0_71,7.0498757
3dd0_725,6.1676273
3dd0_761,6.3534145
3dd0_769,6.554055
3dd0_772,6.6502886
3dd0_775,7.2752447
3dd0_777,6.7190323
3dd0_787,6.28274
3dd0_788,7.0459976
3dd0_796,6.202249
3dd0_821,6.9658504
3dd0_868,7.3203278
3dd0_869,6.963288
3dd0_886,7.405894
3dd0_892,5.839894
3dd0_895,6.0563073
3dd0_897,6.651936
3dd0_974,6.6007752
3dd0_98,6.6945963
3dd0_996,7.062517
