#code,score
3bv9_118,-8413655.57054776
3bv9_119,-6999375.171018442
3bv9_120,-10084672.658604749
3bv9_124,-11966807.716185363
3bv9_13,-8347305.587057957
3bv9_133,-8384111.683619001
3bv9_134,-6324748.144631289
3bv9_137,-10443975.74921213
3bv9_141,-5432959.104628478
3bv9_148,-9670508.229789566
3bv9_15,-6683457.816506663
3bv9_156,-7821550.949961356
3bv9_166,-5478508.566352702
3bv9_167,-8131069.690362707
3bv9_190,-2794208.42796343
3bv9_195,-10643744.505324353
3bv9_204,-10246614.259535525
3bv9_227,-26412409.5211013
3bv9_231,-4788164.939948512
3bv9_233,-22438845.70883562
3bv9_239,-22799150.8980459
3bv9_240,-14753561.742570248
3bv9_244,-23967084.128789317
3bv9_25,-6313506.214917925
3bv9_264,-11108504.692116272
3bv9_271,-12863665.774362717
3bv9_277,-15000067.04203823
3bv9_279,-14870438.733588602
3bv9_298,-15773038.307719253
3bv9_308,-11824700.736765599
3bv9_317,-11145733.613498002
3bv9_324,-8165193.276616709
3bv9_325,-11750729.524085332
3bv9_326,-9853599.040667523
3bv9_332,-10782548.067508053
3bv9_339,-11621629.101775527
3bv9_345,-11115761.296019606
3bv9_35,-10088892.881906211
3bv9_353,-14789653.471270846
3bv9_370,-6721564.124775828
3bv9_384,-6069351.263665468
3bv9_388,-9942007.202832676
3bv9_392,-10016641.422922824
3bv9_393,-7766086.2742420295
3bv9_40,-10858787.663508601
3bv9_441,-11497446.200317668
3bv9_444,-13992534.902264262
3bv9_456,-21621948.693236794
3bv9_460,-26131030.102760922
3bv9_50,-9628438.217644436
3bv9_53,-7675582.532226898
3bv9_533,-7085903.1514455285
3bv9_550,-13356696.624875601
3bv9_582,-11771698.277815668
3bv9_589,-14253106.328868274
3bv9_597,-18827335.252976995
3bv9_618,-15235874.776779125
3bv9_667,-14564326.832152544
3bv9_684,-24851006.270222064
3bv9_688,-5718549.718900263
3bv9_693,-20844224.54399358
3bv9_71,-9890145.769611027
3bv9_743,-7173389.50159662
3bv9_751,-9147244.782655425
3bv9_752,-9038247.801018534
3bv9_754,-7522625.904695373
3bv9_756,-6629853.9043764295
3bv9_757,-8557687.601989044
3bv9_762,-9099389.34949823
3bv9_767,-6000364.523251887
3bv9_770,-8166446.096655275
3bv9_771,-7540294.527777537
3bv9_779,-7129050.72995659
3bv9_780,-6235708.508936263
3bv9_783,-6530350.483959452
3bv9_784,-9408131.823660068
3bv9_787,-4498880.362645526
3bv9_788,-9994257.836970853
3bv9_804,-8641264.81336156
3bv9_812,-10985515.648009753
3bv9_836,-9439930.520032885
3bv9_851,-12306400.816771293
3bv9_865,-9025648.950708808
3bv9_88,-8554439.22677095
3bv9_888,-9107044.227489654
3bv9_92,-11705760.520841938
3bv9_949,-9632972.353361767
3bv9_951,-10085514.07321949
3bv9_954,-9567980.17363691
3bv9_968,-13717083.634007812
3bv9_971,-13630877.842939064
3bv9_976,-8588242.083476445
3bv9_98,1372811778.4714193
3bv9_987,-10018818.878643824
