#code,score
1y6r_232,-1799.3980985314797
1y6r_288,-1797.7051376455086
1y6r_405,-1857.2795168655673
1y6r_406,-1757.2922784336188
1y6r_413,-1753.4570021028733
1y6r_419,-1643.602653025692
1y6r_424,-1416.013332990269
1y6r_429,-1643.493779656499
1y6r_430,-1489.7249099243124
1y6r_434,-1750.750530983067
1y6r_438,-1796.2641054281903
1y6r_440,-1483.426909279399
1y6r_445,-1616.1134660830237
1y6r_450,-1734.4506312874591
1y6r_455,-352.95709580307835
1y6r_457,-1668.587708895687
1y6r_463,-1481.2023323175156
1y6r_473,-1491.8371956299027
1y6r_476,-1520.6122207857422
1y6r_480,-1765.2986654019644
1y6r_481,-1618.212458165808
1y6r_482,-848.1816865548437
1y6r_484,-741.8549043695659
1y6r_496,-1339.956456360494
1y6r_510,-1497.3879283405245
1y6r_535,-1702.2903079440312
1y6r_551,-1387.6973385013246
1y6r_570,-1681.3345270207212
1y6r_572,-1599.4835984906597
1y6r_575,-1436.9844891670746
1y6r_579,-1723.6664805512917
1y6r_595,-1712.200362673572
1y6r_603,-1724.1731728804905
1y6r_604,-1491.405565873578
1y6r_613,-1603.8675469099774
1y6r_645,-874.9859670014177
1y6r_650,-1379.2032848834785
1y6r_652,-1696.367202400075
1y6r_655,-1654.2899527961551
1y6r_656,-1592.0983695884095
1y6r_657,-1422.1068124852745
1y6r_661,-1740.6746862162552
1y6r_666,-421.79873391862156
1y6r_678,-1562.9119109204696
1y6r_694,-1593.151417192953
1y6r_696,-1403.6254251686332
1y6r_698,-1618.8244096285562
1y6r_734,-1805.1901015861704
1y6r_806,-1835.5049521269398
1y6r_808,-1830.5255488334385
1y6r_809,-1813.1471727825794
1y6r_819,-1806.1067247683889
1y6r_858,-1804.4029410001315
1y6r_925,-1809.5077313176887
1y6r_947,-1785.43730023647
1y6r_968,-1815.7441367485937
