#code,score
3arq_117,-1381.4489037183646
3arq_197,-1647.5040259858513
3arq_206,-1927.417734890614
3arq_209,-1535.5579964144715
3arq_221,-1605.7432655459015
3arq_227,-1773.9337812833755
3arq_228,-1935.3865125253062
3arq_231,-1537.0820546520301
3arq_236,-1695.6969353255347
3arq_242,-2203.0444451959493
3arq_245,-2081.63198257758
3arq_256,-2187.4232221142342
3arq_258,-1578.0193614184784
3arq_265,-2256.1520026026196
3arq_287,-1984.6677928506385
3arq_293,-1683.319677948978
3arq_314,-1560.060008984405
3arq_328,-1515.5907833504243
3arq_338,-1431.2881638494866
3arq_339,-1634.6811009220353
3arq_346,-1554.834301129669
3arq_358,-1441.8423874188406
3arq_392,-1518.5724244732794
3arq_404,-1986.4734839644184
3arq_406,-1393.2426716092496
3arq_422,-1793.4121221602268
3arq_426,-2012.6082805764897
3arq_430,-1999.1526902770613
3arq_432,-1676.401086339969
3arq_443,-2216.986604585955
3arq_444,-1720.4268081812645
3arq_445,-1781.6001641059693
3arq_449,-2121.4066340505747
3arq_451,-565.278720438421
3arq_464,-2097.1927360357804
3arq_466,-1710.6711915817475
3arq_474,-1210.1767298371897
3arq_478,-1935.316761248083
3arq_483,-1968.5151519378337
3arq_485,-2159.5962996578696
3arq_508,-1366.1920097063148
3arq_511,-1550.3723180047775
3arq_513,-1707.4406666963698
3arq_515,-1642.6345363268617
3arq_529,-1454.4943810678224
3arq_534,-1739.1582494267172
3arq_535,-1658.667296929656
3arq_543,-1381.4513038864627
3arq_545,-1648.4187598418625
3arq_550,-1535.5787243718628
3arq_556,-1783.8683465559668
3arq_565,-1772.7802128306687
3arq_566,-1269.2080918378967
3arq_571,-1484.78161198687
3arq_575,-1731.4502307922633
3arq_577,-1682.531069542815
3arq_581,-1640.0184827015555
3arq_584,-1406.8948271766699
3arq_587,-1649.3111341659267
3arq_596,-1543.3254954348697
3arq_601,-1271.3615559261932
3arq_606,-1953.738931583912
3arq_607,-1769.1761395090516
3arq_611,-1671.233403605039
3arq_620,-1369.4600801844576
3arq_625,-1955.2511908588963
3arq_626,-1920.3636792855043
3arq_639,-1532.1548043574776
3arq_643,-1617.0464309491858
3arq_645,-1964.6850443525366
3arq_647,-1512.6204740173478
3arq_648,-1293.617445964854
3arq_651,-1722.146650064637
3arq_654,-1294.4431761644573
3arq_655,-1538.452240023973
3arq_673,-1686.3242967177691
3arq_680,-1748.2452942635555
3arq_698,-1725.7709946574403
3arq_721,-1963.6547972599021
3arq_742,-1820.5753868760671
3arq_743,-1950.883711004665
3arq_748,-1713.1427897550755
3arq_755,-1638.829884157159
3arq_758,-1699.1009647568897
3arq_760,-1824.474014250469
3arq_762,-1805.052545752832
3arq_848,-1834.6515787061846
3arq_855,-1887.0021234787366
3arq_868,-2151.118681767432
3arq_941,-1812.5242066774572
3arq_964,-1691.7825000912824
