#code,score
2vvn_205,-3177228.56296877
2vvn_391,-2405458.209551423
2vvn_401,-1908531.5117215363
2vvn_403,-2413617.2107068454
2vvn_405,-2279978.2721455
2vvn_406,-535783.0994374356
2vvn_407,-1131152.8186660002
2vvn_409,-262514.25335170893
2vvn_419,-2145606.9617233276
2vvn_425,-1563786.4391809297
2vvn_426,-559575.1508640501
2vvn_427,2037134.6376886596
2vvn_445,2296062.260119521
2vvn_449,1659958.6893921075
2vvn_469,-2091944.2529455845
2vvn_470,3344406.695971124
2vvn_720,-2755326.493039213
2vvn_721,-2556402.1257853094
2vvn_737,-2293989.6594514796
2vvn_744,-2706639.1590576395
2vvn_750,-2463595.2687769756
2vvn_751,-2368755.452082536
2vvn_757,-2640041.9127144064
2vvn_759,-2586438.990238473
2vvn_763,-2269215.4368316564
2vvn_765,-2434824.697112404
2vvn_776,-2335553.499746933
2vvn_780,-2918468.4047161085
2vvn_782,-2802373.2718143095
2vvn_785,-1557843.5678741753
2vvn_786,-2265687.686004193
2vvn_787,-1556697.1557731612
2vvn_791,-2460740.309024701
2vvn_792,-1637833.0491232865
2vvn_793,-1290028.731328881
2vvn_797,-1698119.2020574717
2vvn_798,-1688782.1878176634
2vvn_799,-1852658.9513851835
2vvn_800,-2048130.9677182566
2vvn_802,-3255570.8919802858
2vvn_829,-3181787.660541893
2vvn_845,-2551117.8114452683
2vvn_846,-2819902.3255916573
2vvn_854,-2716204.135399767
2vvn_880,-2314469.9639606173
2vvn_887,-2399579.6620501387
2vvn_900,-2898291.747422459
2vvn_952,-2991929.1076462544
2vvn_956,-2684121.812596755
2vvn_967,-2687458.4750041924
2vvn_968,-2379746.2929009846
2vvn_973,-2700735.6128862975
2vvn_977,-2421899.7980914842
2vvn_985,-2108986.485706529
2vvn_987,-2281813.0804495187
2vvn_992,-1715699.0359868058
