#code,score
3jvr,49.40759770138071
3ozs,75.19652900081898
3uri,109.39145995629481
2zcr,81.06808191971582
3u9q,53.93260702563434
3lka,39.40470703856532
4jfs,45.4867866921043
4w9l,81.76927333500522
3gv9,28.26022396402179
4e5w,81.01099340289187
2x00,92.3640539707142
2yfe,74.29806314219846
2j78,38.60199334696429
2fvd,72.0380174214322
4tmn,85.42452977500092
3aru,44.52714673474195
3dd0,42.419782360579475
1owh,52.890546365592996
1z6e,81.74102263088606
3f3d,42.11390882200067
2brb,60.39601001759061
4m0z,70.34312624695295
3n76,68.46144139275462
3zsx,66.44673818490708
1nc3,57.90609350244257
2vvn,55.346234172258406
3f3e,43.589512185531206
3e5a,80.55620477308199
3g2z,24.03369670038415
4gfm,47.964922696556144
2wvt,39.35579474697397
3gy4,36.14245621257552
3f3c,45.204301978260375
4jxs,47.2884156018239
2br1,64.53721867143362
4e6q,71.15284387620339
2fxs,49.91406818507856
4j21,59.07100686315138
2qbr,58.80002866207701
4dld,49.86990208571528
1p1q,34.119873215419666
1nvq,83.63702000723846
2hb1,36.91865274894708
3ge7,73.1010567062805
2v7a,78.60272497113954
4f2w,73.89583294406144
4jia,68.3341731114401
4ddk,38.736942655887376
1o3f,53.52687688922198
3k5v,61.700222757617354
4mme,57.07688618087201
3ueu,56.070012830840355
1z9g,45.56857431222949
1oyt,73.02679640381339
4kzu,60.31794768390988
4crc,82.38148832108936
4gid,131.0391327713777
4ciw,48.33851829311878
4eo8,67.54721554055521
1k1i,63.3411564972338
2iwx,57.36364316555772
1nc1,63.51749408833065
2zda,75.48013173388324
3n86,75.17881477913734
3b65,79.68803149740468
3coz,78.09810552071403
4f9w,70.22547458219714
5dwr,76.03993389026965
4eky,65.77687928866713
3utu,97.47840155146672
4qac,72.97952047037606
2xii,62.64156308558914
4x6p,85.69399481829163
1z95,83.5137405759163
4agn,55.43498792146181
3pyy,59.5895208125462
3mss,49.47503072472858
3arp,76.39999052124017
3b5r,79.86550046626009
3ui7,60.112095535004286
1o0h,44.39554316238521
3rsx,41.244478491000265
4qd6,55.517300276174396
1q8u,63.678532173347804
3tsk,94.07311081690042
2cbv,37.76748643123784
3gc5,55.3573305221212
4ih5,43.305163662649605
1p1n,45.4526193380666
3ejr,56.95401953401269
3ozt,74.53902674187816
1mq6,81.09003168349783
1ps3,38.7077916479559
1yc1,63.18665480105497
4m0y,47.98229741672519
3arq,51.08456537634622
4de2,52.48024042192296
4ivc,70.90642204544065
1syi,52.901043088366094
4k77,54.60134909054261
2qnq,93.83210723946307
2zb1,80.24313922074974
3fcq,37.97722440084212
1lpg,83.47996524055645
2j7h,36.36870006786941
1ydt,77.76712891998591
1bcu,42.19342969688695
3g2n,59.013183458875346
1o5b,39.95512265012876
2p15,104.17442907806664
2qe4,74.21879437921963
2xj7,53.662110791155726
3dx2,34.958761854743244
2qbq,63.420997230751084
2yge,71.98966259604225
3u8k,57.22302070810372
3prs,108.69969009519224
2yki,93.97422287767972
3wtj,50.7862752782015
2v00,41.803403396686676
3bgz,63.47563819711557
3oe4,76.13700867526931
3fv2,56.11044172911811
2wtv,76.14361579387466
3r88,38.28108439175713
5c2h,84.05028773006677
4agq,66.30671370549678
3fv1,62.695368129209655
4f09,55.86267121648861
3up2,65.62440311645393
3kr8,63.74171360113297
4ddh,45.91747187406229
2wca,51.73809709382088
1sqa,62.51149962081536
2ymd,50.34130184849654
4gkm,49.73952943128421
1a30,59.4073920007021
1u1b,74.4543239580225
2zy1,69.54368605396736
4w9h,71.20034894279823
3e93,105.33989423478089
1qkt,70.16382889448262
3pxf,45.32434452084031
1h22,95.70797535537247
3u8n,60.69941211775736
3nx7,51.47025531876179
4agp,65.3593776467542
3gnw,87.21447360491686
3uex,76.75484506045107
4gr0,106.78586722154444
4djv,65.58689316929082
4ih7,51.9302309324883
3kgp,33.640510891189535
2y5h,71.67710166010461
3g0w,74.64428010536648
4lzs,45.5357403503463
3udh,39.981281899713636
3uew,67.55186129949165
3dxg,32.84939256439502
4ea2,82.80875471863227
4j28,40.09508440918002
4eor,74.61855022268564
2wbg,58.10551003928022
2pog,70.3367216545721
4pcs,42.28451763569953
1e66,70.37870412091793
4jsz,29.59823046556573
4wiv,57.381785804225856
1qf1,69.10083831378232
3ebp,53.46825944382594
3ivg,75.55667285460812
3qqs,49.072705025560566
1eby,120.40897746474025
3o9i,113.9457938544998
4ivd,70.46065552312123
3b1m,92.39508964489478
3zt2,55.37045209980778
3nw9,89.37695852056122
5tmn,77.54849536711615
4twp,74.33316155831265
2qbp,73.55630645262434
3u5j,54.801332579162846
3d4z,35.78404487656215
3rr4,48.15930723262639
3pww,106.84543976581385
4k18,69.88171452511436
2xys,61.871881784228165
2w66,48.23677170715628
4cig,70.4341412649565
2wn9,50.88272629571563
3ary,32.79725636796097
3ehy,47.76851825511481
1c5z,35.1617091993959
2vw5,78.3861160520197
3rlr,59.93806841251548
5a7b,66.49706356626811
4de3,46.39221135500432
4bkt,42.8389916831148
1pxn,63.103318596904074
2wnc,57.49544127017474
2xnb,72.34183163407853
2xb8,65.44754887853829
3gr2,28.571689783526004
4w9c,61.012020613409376
3myg,68.60731577939791
3oe5,76.99597158983364
1gpn,60.333547248210806
4f3c,84.26803418451796
1w4o,39.71623756513341
3nq9,34.76092997378126
3qgy,64.33911791393176
3kwa,42.24520077263459
2al5,43.604021729490526
3b68,93.01984109519778
4cra,80.35383831270859
1r5y,37.574565407638254
3syr,53.930173167616516
4cr9,41.2069484562105
3d6q,33.97582983836171
4kzq,57.81785426966968
3coy,84.48963432446158
3arv,42.83292409201583
3ag9,96.57632619925282
1g2k,111.12222187363524
2c3i,66.37580764044814
3n7a,38.07547429750325
3fur,82.02624439416944
2wer,56.59033545566507
4llx,30.197282632079087
3l7b,53.54451113306574
3uuo,53.526253902408655
1q8t,55.10869795160876
4u4s,44.67261652513035
3b27,44.459886398411754
