#code,score
3jvr,-29.49968266576678
3ozs,-28.20469416477418
3uri,-27.98814745621089
2zcr,-27.582126170319963
3u9q,-28.22784426428965
3lka,-30.428662100694687
4jfs,-28.818830011272798
4w9l,-28.475019550471483
3gv9,-29.36999947028693
4e5w,-30.511956787837534
2x00,-29.91156886036864
2yfe,-29.082946536996243
2j78,-23.127009563349315
2fvd,-29.975945948646167
4tmn,-27.919523751499842
3aru,-28.025311226977283
3dd0,-30.286670115474905
1owh,-29.9888322485055
1z6e,-29.25039665875382
3f3d,-29.680615079168817
2brb,-29.72917372991158
4m0z,-28.888279815918292
3n76,-27.595141523965303
3zsx,-28.791732231378568
1nc3,-25.173893561155918
2vvn,-25.771240067512213
3f3e,-29.394769385080348
3e5a,-29.093535371202005
3g2z,-28.22092254058963
4gfm,-29.69817983291512
2wvt,-22.738357664443647
3gy4,-29.615145235496904
3f3c,-29.072363771366355
4jxs,-28.087693893441106
2br1,-29.010857248847277
4e6q,-29.535744967896154
2fxs,-27.65409079153723
4j21,-28.78602008376729
2qbr,-28.110002624689486
4dld,-28.733788368497493
1p1q,-29.57559329488182
1nvq,-28.156225632127793
2hb1,-28.174886419611713
3ge7,-28.902417292564063
2v7a,-29.116894640923455
4f2w,-29.688535180888834
4jia,-30.627955123470954
4ddk,-29.144460084700683
1o3f,-27.611234521501896
3k5v,-29.315726952994588
4mme,-28.881603453208868
3ueu,-28.195614706783594
1z9g,-27.44522793873989
1oyt,-28.48584274658641
4kzu,-29.19239811976861
4crc,-27.899998968735236
4gid,-27.92655924474259
4ciw,-26.871036018875603
4eo8,-29.08105049217176
1k1i,-28.0924927863655
2iwx,-28.505321500844026
1nc1,-29.126043091356195
2zda,-28.084662803704916
3n86,-26.820275398227167
3b65,-27.640501634242028
3coz,-27.14049373843571
4f9w,-29.131799523108853
5dwr,-29.211826470046258
4eky,-27.797734179391245
3utu,-27.863556120393355
4qac,-29.077535577694935
2xii,-28.090353074014974
4x6p,-27.93719048471988
1z95,-28.121424733679092
4agn,-27.693519664185615
3pyy,-28.506670390000064
3mss,-29.26389958254595
3arp,-28.44089342050688
3b5r,-27.522561932830907
3ui7,-30.375843173435257
1o0h,-25.449165795318848
3rsx,-30.02014170650995
4qd6,-29.824473605168482
1q8u,-29.397316003531483
3tsk,-26.9721704808951
2cbv,-23.340932088887836
3gc5,-29.692267487875757
4ih5,-29.684963662048855
1p1n,-28.230259396640385
3ejr,-29.014542222368117
3ozt,-28.295382087954785
1mq6,-27.73099085952365
1ps3,-22.173687790447897
1yc1,-27.43691063266474
4m0y,-29.041244249642855
3arq,-27.49777347786327
4de2,-29.293497425270925
4ivc,-29.388269303150878
1syi,-28.062197598584834
4k77,-29.287029613656617
2qnq,-27.50632006843456
2zb1,-28.688655640775387
3fcq,-28.354728599900092
1lpg,-29.307464740143313
2j7h,-22.201162859601826
1ydt,-28.99010617512884
1bcu,-30.718440307424295
3g2n,-27.837627658057894
1o5b,-29.53965764941766
2p15,-27.499115212014658
2qe4,-27.78174418613346
2xj7,-23.828623639090214
3dx2,-25.440442923453052
2qbq,-28.226139608490822
2yge,-28.921308817068276
3u8k,-30.360407174737507
3prs,-28.226962643125443
2yki,-29.126675225883133
3wtj,-29.563546859110833
2v00,-29.50387947561912
3bgz,-28.97996760759107
3oe4,-28.370962171290376
3fv2,-27.413344400641396
2wtv,-29.618438571505397
3r88,-29.401223734999533
5c2h,-28.990183174158886
4agq,-29.85396926806768
3fv1,-28.2083167827943
4f09,-29.827569604275936
3up2,-28.405715356184405
3kr8,-29.49436616621244
4ddh,-27.994016574510752
2wca,-28.317785195499205
1sqa,-29.307413357849814
2ymd,-29.520270431863082
4gkm,-27.836893301095838
1a30,-28.171539124985408
1u1b,-25.739438562772854
2zy1,-27.683381567274072
4w9h,-28.68998586386591
3e93,-28.41919058147624
1qkt,-27.55443052291381
3pxf,-28.462714934383875
1h22,-27.933429306436278
3u8n,-30.396474811641955
3nx7,-28.20198641492053
4agp,-29.679561703402243
3gnw,-27.11116096734527
3uex,-28.946123101099996
4gr0,-27.42863020960208
4djv,-29.357884880183086
4ih7,-29.22414379614286
3kgp,-30.07325878666562
2y5h,-28.957216849121274
3g0w,-27.75790333650949
4lzs,-29.400732782145884
3udh,-29.72198006612172
3uew,-29.41305922209954
3dxg,-22.704102315654694
4ea2,-29.021135539176942
4j28,-28.75646940283303
4eor,-29.330017757044814
2wbg,-24.14027598985655
2pog,-27.305569880965333
4pcs,-28.32680098617691
1e66,-29.25053609257877
4jsz,-26.77783495498652
4wiv,-28.90649030942265
1qf1,-27.675535106138632
3ebp,-28.68973487589144
3ivg,-28.53202030471061
3qqs,-27.63965019665868
1eby,-28.015172059017242
3o9i,-28.668463581967945
4ivd,-28.34411071382381
3b1m,-28.988582006334894
3zt2,-29.531897016098277
3nw9,-27.893835263861902
5tmn,-27.82370310934363
4twp,-28.834238446718178
2qbp,-28.246558277504477
3u5j,-29.588110136308675
3d4z,-23.31453099825278
3rr4,-29.054254270333363
3pww,-27.233911710705314
4k18,-29.059839676120852
2xys,-30.29082463008406
2w66,-23.894752818778134
4cig,-28.991713391777054
2wn9,-28.798895272522785
3ary,-29.248445128386606
3ehy,-28.13615076767163
1c5z,-30.56434303403016
2vw5,-27.519053973689065
3rlr,-29.687914876739175
5a7b,-29.761831565138827
4de3,-29.519420544992496
4bkt,-27.45971481531922
1pxn,-31.437916174691676
2wnc,-29.831263747341517
2xnb,-29.160301232228434
2xb8,-27.959733514733383
3gr2,-30.759381799036635
4w9c,-28.739992267117163
3myg,-29.93489529214708
3oe5,-28.640716972780787
1gpn,-28.179700566152942
4f3c,-28.91184404186872
1w4o,-23.289042915672095
3nq9,-28.244296001592435
3qgy,-28.890003811688135
3kwa,-30.459658869863652
2al5,-28.511972377328835
3b68,-27.906384442842555
4cra,-27.043645099962205
1r5y,-28.918760395317005
3syr,-18.426423399576976
4cr9,-30.430348648143713
3d6q,-24.67896134173268
4kzq,-29.293571113283313
3coy,-27.548733223540363
3arv,-28.927943416350562
3ag9,-27.444212545800784
1g2k,-28.028605233622116
2c3i,-29.630066032125566
3n7a,-26.949188018206222
3fur,-28.796034957243304
2wer,-28.602231520385445
4llx,-29.15038772532145
3l7b,-24.21889056888525
3uuo,-30.351475796846994
1q8t,-29.83640637461291
4u4s,-29.23861697776879
3b27,-29.82819629947954
2w4x,-24.58042141494459
3jya,-30.648193895213144
1ydr,-29.979503069111324
3gbb,-28.74173800552105
3uo4,-28.098011680851705
3ao4,-30.902699647935027
1bzc,-27.57922279165442
4ogj,-29.700707098278553
5c28,-31.058558554437326
1s38,-28.358329130631883
3zso,-28.464719097828198
4abg,-30.214883620058448
3f3a,-29.87956000577456
3ryj,-29.09246996489341
4de1,-29.390909573188583
4dli,-28.748005983375656
1vso,-28.801347147563828
3e92,-29.167378611102514
2zcq,-27.684920156029406
3cj4,-27.77251771231507
3bv9,-28.237523732480916
2vkm,-27.197646418733868
1uto,-30.3027021612315
1y6r,-27.775595452973903
4j3l,-27.907437445386805
2r9w,-28.10843314278254
2xbv,-28.80704579839777
4ty7,-28.889047615669885
2cet,-26.22894216772655
4mgd,-28.02100550478484
5aba,-29.18679426543024
4owm,-29.18764912945283
3jvs,-27.503614169020285
2p4y,-29.067117942213372
3uev,-28.908214138969907
3wz8,-28.462743186005756
3zdg,-29.96362309317141
3g31,-28.35702121838515
1gpk,-30.081937207354052
4ivb,-28.726466907642465
1h23,-27.823458219474286
4w9i,-29.36572445077863
2xdl,-30.917607107549152
3p5o,-29.26694002337641
4rfm,-29.365999554594804
4kz6,-28.654617344226576
3acw,-29.27435740445716
3twp,-29.73239383033375
4hge,-29.940409325671276
2weg,-31.127623054840598
3dx1,-26.063100372986824
