     code  logKa      score
1    4llx   2.89   6.666667
2    5c28   5.66   0.270270
3    3uuo   7.96   2.173913
4    3ui7   9.00   2.173913
5    5c2h  11.09  33.333333
6    2v00   3.66   0.270270
7    3wz8   5.82  37.037037
8    3pww   7.32   0.270270
9    3prs   7.82  37.037037
10   3uri   9.00   0.270270
11   4m0z   5.19   0.270270
12   4m0y   6.46   0.270270
13   3qgy   7.80  37.037037
14   4qd6   8.64  37.037037
15   4rfm  10.05   0.270270
16   4cr9   4.10   0.270270
17   4cra   7.22  37.037037
18   4x6p   8.30  37.037037
19   4crc   8.72  33.333333
20   4ty7   9.52  37.037037
21   5aba   2.98   0.270270
22   5a7b   3.57   0.270270
23   4agn   3.97   0.270270
24   4agp   4.69   0.270270
25   4agq   5.01   0.270270
26   3bgz   6.26  33.333333
27   3jya   6.89   0.270270
28   2c3i   7.60   0.270270
29   4k18   8.96   0.270270
30   5dwr  11.22   0.270270
31   3mss   4.66   0.270270
32   3k5v   6.30   0.270270
33   3pyy   6.86   0.270270
34   2v7a   8.30   0.270270
35   4twp  10.00  37.037037
36   3wtj   6.53   0.270270
37   3zdg   7.10   6.666667
38   3u8k   8.66   6.666667
39   4qac   9.40   0.270270
40   3u8n  10.17   0.270270
41   1a30   4.30  41.666667
42   2qnq   6.11  37.037037
43   1g2k   7.96  37.037037
44   1eby   9.70  37.037037
45   3o9i  11.82   0.270270
46   4lzs   4.80   0.270270
47   3u5j   5.61   0.434783
48   4wiv   6.26   0.270270
49   4ogj   6.79   0.270270
50   3p5o   7.30   0.270270
51   1ps3   2.28   0.333333
52   3dx1   3.58   0.026110
53   3d4z   4.89   0.003135
54   3dx2   6.82   0.026110
55   3ejr   8.57   0.270270
56   3l7b   2.40   0.026110
57   4eky   3.52   0.270270
58   3g2n   4.09   6.666667
59   3syr   5.10   0.666667
60   3ebp   5.91   0.270270
61   2w66   4.05   0.026110
62   2w4x   4.85   6.666667
63   2wca   5.60   0.270270
64   2xj7   6.66   0.026110
65   2vvn   7.30   0.026110
66   3aru   3.22   6.666667
67   3arv   5.64   1.818182
68   3ary   6.00   6.666667
69   3arq   6.40   6.666667
70   3arp   7.15   0.270270
71   4ih5   4.11   0.270270
72   4ih7   5.24   0.434783
73   3cj4   6.51   0.270270
74   4eo8   8.15   0.434783
75   3gnw   9.10  37.037037
76   1gpk   5.37   6.666667
77   1h23   8.35   0.270270
78   1h22   9.10   0.270270
79   3f3a   4.19   0.270270
80   3f3c   6.02   0.270270
81   4mme   6.50   0.270270
82   3f3d   7.16   0.270270
83   3f3e   7.70   0.270270
84   2wbg   4.45   0.270270
85   2cbv   5.48   0.026110
86   2j78   6.42   6.666667
87   2j7h   7.19   0.050000
88   2cet   8.02   6.666667
89   3udh   2.85   0.270270
90   3rsx   4.41   0.270270
91   4djv   6.72   0.270270
92   2vkm   8.74  37.037037
93   4gid  10.77   0.270270
94   4jfs   5.27   6.666667
95   4j28   5.70   6.666667
96   2wvt   6.12   6.896552
97   2xii   7.20   0.000385
98   4pcs   7.85   6.666667
99   3rr4   4.55   6.666667
100  1s38   5.15   6.666667
101  1r5y   6.46   6.666667
102  3gc5   7.26   6.666667
103  3ge7   8.70   0.270270
104  4dli   5.62   0.270270
105  2zb1   6.32   0.714286
106  4f9w   6.94  33.333333
107  3e92   8.00   0.270270
108  3e93   8.85  37.037037
109  4owm   2.96   0.270270
110  3twp   3.92   0.270270
111  3r88   4.82   0.270270
112  4gkm   5.17  41.666667
113  3qqs   5.82  41.666667
