     code  logKa    score
1    4llx   2.89    511.0
2    5c28   5.66    511.0
3    3uuo   7.96    511.0
4    3ui7   9.00    511.0
5    5c2h  11.09    511.0
6    2v00   3.66    511.0
7    3wz8   5.82    511.0
8    3pww   7.32    511.0
9    3prs   7.82    511.0
10   3uri   9.00    511.0
11   4m0z   5.19    511.0
12   4m0y   6.46    511.0
13   3qgy   7.80    511.0
14   4qd6   8.64    511.0
15   4rfm  10.05    511.0
16   4cr9   4.10    511.0
17   4cra   7.22    511.0
18   4x6p   8.30    511.0
19   4crc   8.72    511.0
20   4ty7   9.52    511.0
21   5aba   2.98    511.0
22   5a7b   3.57    511.0
23   4agn   3.97    511.0
24   4agp   4.69    511.0
25   4agq   5.01    511.0
26   3bgz   6.26    511.0
27   3jya   6.89    511.0
28   2c3i   7.60    511.0
29   4k18   8.96    511.0
30   5dwr  11.22    511.0
31   3mss   4.66    511.0
32   3k5v   6.30    511.0
33   3pyy   6.86    511.0
34   2v7a   8.30    511.0
35   4twp  10.00    511.0
36   3wtj   6.53    511.0
37   3zdg   7.10     19.1
38   3u8k   8.66    511.0
39   4qac   9.40    511.0
40   3u8n  10.17    511.0
41   1a30   4.30     51.5
42   2qnq   6.11    511.0
43   1g2k   7.96    511.0
44   1eby   9.70    511.0
45   3o9i  11.82    511.0
46   4lzs   4.80    511.0
47   3u5j   5.61    511.0
48   4wiv   6.26    511.0
49   4ogj   6.79    511.0
50   3p5o   7.30    511.0
51   1ps3   2.28      2.0
52   3dx1   3.58  16000.0
53   3d4z   4.89      2.0
54   3dx2   6.82  16000.0
55   3ejr   8.57    511.0
56   3l7b   2.40     51.5
57   4eky   3.52     51.5
58   3g2n   4.09    511.0
59   3syr   5.10  24600.0
60   3ebp   5.91    511.0
61   2w66   4.05      2.0
62   2w4x   4.85    270.0
63   2wca   5.60    511.0
64   2xj7   6.66   5000.0
65   2vvn   7.30  16000.0
66   3aru   3.22    511.0
67   3arv   5.64    511.0
68   3ary   6.00    511.0
69   3arq   6.40    511.0
70   3arp   7.15    511.0
71   4ih5   4.11    511.0
72   4ih7   5.24    511.0
73   3cj4   6.51    511.0
74   4eo8   8.15    511.0
75   3gnw   9.10    511.0
76   1gpk   5.37     51.5
77   1h23   8.35     51.5
78   1h22   9.10     51.5
79   3f3a   4.19    511.0
80   3f3c   6.02    511.0
81   4mme   6.50    511.0
82   3f3d   7.16     51.5
83   3f3e   7.70     51.5
84   2wbg   4.45     51.5
85   2cbv   5.48  16000.0
86   2j78   6.42  16000.0
87   2j7h   7.19  24600.0
88   2cet   8.02    511.0
89   3udh   2.85    511.0
90   3rsx   4.41    511.0
91   4djv   6.72    511.0
92   2vkm   8.74    511.0
93   4gid  10.77    511.0
94   4jfs   5.27    511.0
95   4j28   5.70    511.0
96   2wvt   6.12  24600.0
97   2xii   7.20    511.0
98   4pcs   7.85    511.0
99   3rr4   4.55    511.0
100  1s38   5.15    511.0
101  1r5y   6.46    511.0
102  3gc5   7.26    511.0
103  3ge7   8.70    511.0
104  4dli   5.62    511.0
105  2zb1   6.32    511.0
106  4f9w   6.94    511.0
107  3e92   8.00    511.0
108  3e93   8.85    511.0
109  4owm   2.96    511.0
110  3twp   3.92    511.0
111  3r88   4.82    511.0
112  4gkm   5.17    511.0
113  3qqs   5.82    511.0
114  3gv9   2.12    270.0
115  3gr2   2.52    511.0
116  4kz6   3.10     19.1
117  4jxs   4.74    511.0
118  2r9w   5.10    511.0
119  2hb1   3.80    511.0
120  1bzc   4.92    511.0
121  2qbr   6.33    511.0
122  2qbq   7.44    511.0
123  2qbp   8.40    511.0
124  1q8t   4.76    511.0
125  1ydr   5.52    511.0
126  1q8u   5.96    511.0
127  1ydt   7.32    511.0
128  3ag9   8.05    511.0
129  3fcq   2.77    511.0
130  1z9g   5.64    511.0
131  1qf1   7.32    511.0
132  5tmn   8.04    511.0
133  4tmn  10.17    511.0
134  4ddk   2.29    511.0
135  4ddh   3.32    511.0
136  3ivg   4.30    511.0
137  3coz   5.57    511.0
138  3coy   6.02    511.0
139  3pxf   4.43    511.0
140  4eor   6.30    511.0
141  2xnb   6.83    511.0
142  1pxn   7.15    511.0
143  2fvd   8.52    511.0
144  4k77   6.63    511.0
145  4e5w   7.66    511.0
146  4ivb   8.72    511.0
147  4ivd   9.52    511.0
148  4ivc  10.00    511.0
149  4f09   6.70    511.0
150  4gfm   7.22    511.0
151  4hge   7.92    511.0
152  4e6q   8.36    511.0
153  4jia   9.22    511.0
154  2brb   4.86    511.0
155  2br1   5.14    511.0
156  3jvr   5.72    511.0
157  3jvs   6.54    511.0
158  1nvq   8.25    511.0
159  3acw   4.76    511.0
160  4ea2   6.44     51.5
161  2zcr   6.87    511.0
162  2zy1   7.40    511.0
163  2zcq   8.82    511.0
164  1bcu   3.28    511.0
165  3bv9   5.36     51.5
166  1oyt   7.24    511.0
167  2zda   8.40    511.0
168  3utu  10.92    511.0
169  3u9q   4.38     19.1
170  2yfe   6.63    511.0
171  3fur   8.00    511.0
172  3b1m   8.48    511.0
173  2p4y   9.00    511.0
174  3uo4   6.52    511.0
175  3up2   7.40    511.0
176  3e5a   8.23    511.0
177  2wtv   8.74    511.0
178  3myg  10.70    511.0
179  3kgp   2.57    511.0
180  1c5z   4.01    511.0
