     code  logKa      score
1    4llx   2.89  14.674654
2    5c28   5.66  17.831089
3    3uuo   7.96  25.069598
4    3ui7   9.00  28.301068
5    5c2h  11.09  34.385887
6    2v00   3.66  22.572303
7    3wz8   5.82  37.722388
8    3pww   7.32  46.557574
9    3prs   7.82  43.288120
10   3uri   9.00  35.748163
11   4m0z   5.19  28.978991
12   4m0y   6.46  23.366708
13   3qgy   7.80  34.443230
14   4qd6   8.64  40.298955
15   4rfm  10.05  31.753201
16   4cr9   4.10  17.884616
17   4cra   7.22  37.133279
18   4x6p   8.30  38.609792
19   4crc   8.72  37.025757
20   4ty7   9.52  36.583399
21   5aba   2.98  25.440396
22   5a7b   3.57  36.449849
23   4agn   3.97  26.577253
24   4agp   4.69  34.767076
25   4agq   5.01  32.716654
26   3bgz   6.26  40.448853
27   3jya   6.89  22.934337
28   2c3i   7.60  31.863629
29   4k18   8.96  38.277346
30   5dwr  11.22  43.361452
31   3mss   4.66  26.557391
32   3k5v   6.30  34.462822
33   3pyy   6.86  31.696623
34   2v7a   8.30  32.483704
35   4twp  10.00  36.009265
36   3wtj   6.53  21.607669
37   3zdg   7.10  16.584262
38   3u8k   8.66  16.824734
39   4qac   9.40  40.529611
40   3u8n  10.17  18.628999
41   1a30   4.30  21.611260
42   2qnq   6.11  51.226386
43   1g2k   7.96  50.185914
44   1eby   9.70  48.804526
45   3o9i  11.82  42.302517
46   4lzs   4.80  17.059905
47   3u5j   5.61  30.008994
48   4wiv   6.26  35.775999
49   4ogj   6.79  39.745968
50   3p5o   7.30  31.641464
51   1ps3   2.28  14.186174
52   3dx1   3.58  16.738045
53   3d4z   4.89  13.544630
54   3dx2   6.82  20.152586
55   3ejr   8.57  27.478136
56   3l7b   2.40  16.699993
57   4eky   3.52  19.754465
58   3g2n   4.09  19.424834
59   3syr   5.10  15.357893
60   3ebp   5.91  29.258542
61   2w66   4.05  11.318062
62   2w4x   4.85  14.106207
63   2wca   5.60  25.679524
64   2xj7   6.66  14.594892
65   2vvn   7.30  14.630238
66   3aru   3.22  16.400974
67   3arv   5.64  31.611980
68   3ary   6.00  14.724825
69   3arq   6.40  23.487055
70   3arp   7.15  39.584887
71   4ih5   4.11  23.271256
72   4ih7   5.24  25.849726
73   3cj4   6.51  24.603482
74   4eo8   8.15  29.282584
75   3gnw   9.10  42.847494
76   1gpk   5.37  18.366294
77   1h23   8.35  36.669152
78   1h22   9.10  33.148461
79   3f3a   4.19  21.345103
80   3f3c   6.02  24.510547
81   4mme   6.50  28.563728
82   3f3d   7.16  20.322503
83   3f3e   7.70  20.602964
84   2wbg   4.45  26.117434
85   2cbv   5.48  15.867300
86   2j78   6.42  15.098569
87   2j7h   7.19  12.623013
88   2cet   8.02  21.782459
89   3udh   2.85  18.196947
90   3rsx   4.41  22.671069
91   4djv   6.72  40.703776
92   2vkm   8.74  50.470244
93   4gid  10.77  48.096855
94   4jfs   5.27  22.844282
95   4j28   5.70  19.993824
96   2wvt   6.12  14.960509
97   2xii   7.20  31.896487
98   4pcs   7.85  24.549087
99   3rr4   4.55  17.653512
100  1s38   5.15  21.322340
101  1r5y   6.46  19.191741
102  3gc5   7.26  22.276142
103  3ge7   8.70  29.667621
104  4dli   5.62  27.968816
105  2zb1   6.32  36.133010
106  4f9w   6.94  35.625583
107  3e92   8.00  37.779440
108  3e93   8.85  40.233380
109  4owm   2.96  15.743698
110  3twp   3.92  15.944293
111  3r88   4.82  16.460029
112  4gkm   5.17  24.831237
113  3qqs   5.82  23.068921
114  3gv9   2.12  11.700987
115  3gr2   2.52  15.282805
116  4kz6   3.10  16.585638
117  4jxs   4.74  20.874297
118  2r9w   5.10  31.240855
119  2hb1   3.80  18.511270
120  1bzc   4.92  30.718055
121  2qbr   6.33  33.373077
122  2qbq   7.44  32.607913
123  2qbp   8.40  38.256445
124  1q8t   4.76  18.823272
125  1ydr   5.52  23.987693
126  1q8u   5.96  26.477451
127  1ydt   7.32  33.120202
128  3ag9   8.05  31.123365
129  3fcq   2.77  18.585705
130  1z9g   5.64  23.307603
131  1qf1   7.32  31.048462
132  5tmn   8.04  32.757646
133  4tmn  10.17  36.499553
